District,"KCC OUTSTANDING AS ON
30.09.2025 NO.",AMT.,KCC NPA AS ON 30.09.2025 NO.,AMT.,%AGE NPA NO.,AMT.,"RUPAY CARD
ISSUED NO.","RUPAY CARD
ACTIVATED NO."
Araria,98356,832.27,26507,231.09,26.95,27.77,36606,2012
Arwal,16607,89.14,9279,48.68,55.87,54.61,5785,4808
Aurangabad,84783,551.52,45891,335.96,54.13,60.92,39334,22103
Banka,68102,374.39,36796,201.46,54.03,53.81,14279,3046
Begusarai,165084,983.84,51260,355.27,31.05,36.11,34757,6589
Bhagalpur,95628,625.60,37678,246.12,39.40,39.34,22409,4873
Bhojpur,70952,435.51,34932,235.40,49.23,54.05,18415,12018
Buxar,69674,529.80,38159,308.91,54.77,58.31,20503,13144
Darbhanga,85666,507.05,10358,79.26,12.09,15.63,27899,2258
Gaya,114882,716.36,54095,376.48,47.09,52.55,32505,10139
Gopalganj,124819,999.26,38986,288.40,31.23,28.86,22154,3710
Jamui,86959,617.45,43981,314.91,50.58,51.00,12126,2982
Jehanabad,23078,169.85,15006,107.64,65.02,63.37,8060,6061
Kaimur (Bhabua),62031,502.75,30555,259.02,49.26,51.52,30148,10736
Katihar,93962,832.83,31087,247.92,33.08,29.77,19119,3523
Khagaria,102620,589.26,53559,272.72,52.19,46.28,21393,2278
Kishanganj,79693,652.73,21132,179.54,26.52,27.51,28598,1399
Lakhisarai,45787,327.07,26568,188.64,58.03,57.68,3696,953
Madhepura,56666,477.30,19565,181.37,34.53,38.00,21408,1873
Madhubani,171444,983.62,30507,187.14,17.79,19.03,55078,5968
Munger,47194,286.16,23705,145.44,50.23,50.82,5087,2059
Muzaffarpur,196116,1393.26,57444,385.31,29.29,27.66,45305,7341
Nalanda,94280,573.00,59412,364.94,63.02,63.69,24841,13330
Nawada,84860,551.33,27841,203.80,32.81,36.97,21567,13343
Pashchim Champaran,179417,1409.22,40478,335.02,22.56,23.77,61903,6910
Patna,87413,702.00,54239,392.49,62.05,55.91,25872,14824
Purbi Champaran,262857,1999.64,71861,586.64,27.34,29.34,71684,11160
Purnia,121955,1187.84,37421,342.19,30.68,28.81,37318,7076
Rohtas,99157,771.06,49490,453.09,49.91,58.76,33033,20665
Saharsa,65901,577.84,20468,174.53,31.06,30.20,21911,2884
Samastipur,205582,1363.01,72359,482.35,35.20,35.39,43251,6181
Saran,90214,786.71,33157,265.63,36.75,33.76,17967,2996
Sheikhpura,29103,215.05,12968,92.70,44.56,43.11,4017,1130
Sheohar,27885,216.12,9316,59.64,33.41,27.60,7152,757
Sitamarhi,109942,834.35,36253,272.22,32.97,32.63,32625,2550
Siwan,96523,784.99,29386,248.82,30.44,31.70,17858,2516
Supaul,79879,728.70,32649,260.83,40.87,35.79,19541,2673
Vaishali,133487,1101.54,48776,357.08,36.54,32.42,28786,5294
