district,msme_npa_micro_no,msme_npa_micro_amt,msme_npa_small_no,msme_npa_small_amt,msme_npa_medium_no,msme_npa_medium_amt,msme_npa_other_no,msme_npa_other_amt,msme_npa_total_no,msme_npa_total_amt
Araria,13133,97.58,27,15.80,3,0.19,0,0.00,13163,113.57
Arwal,2495,27.22,13,0.82,0,0.00,0,0.00,2508,28.04
Aurangabad,9539,79.60,47,7.85,4,0.09,1,0.20,9591,87.74
Banka,7089,76.40,29,43.49,1,0.01,9,0.06,7128,119.95
Begusarai,10834,124.07,392,19.29,7,0.11,4,0.04,11237,143.51
Bhagalpur,12954,137.98,109,12.85,7,0.09,4,0.24,13074,151.16
Bhojpur,12236,86.93,74,4.13,2,0.05,1,0.01,12313,91.12
Buxar,12334,81.59,72,5.11,2,0.05,1,0.01,12409,86.76
Darbhanga,13626,122.15,139,5.33,7,12.00,9,0.11,13781,139.59
Gaya,18811,229.02,186,13.83,1,0.00,3,0.01,19001,242.86
Gopalganj,8868,84.94,33,2.81,57,0.99,7,0.06,8965,88.80
Jamui,7664,59.85,23,0.93,2,0.03,4,0.05,7693,60.86
Jehanabad,4519,56.61,29,0.93,0,0.00,0,0.00,4548,57.54
Kaimur (Bhabua),7752,60.19,39,3.40,1,0.01,2,0.23,7794,63.83
Katihar,9007,86.13,37,1.66,2,0.05,4,0.10,9050,87.94
Khagaria,5120,43.27,20,1.93,1,0.01,0,0.00,5141,45.20
Kishanganj,7488,51.82,20,0.91,0,0.00,0,0.00,7508,52.74
Lakhisarai,3794,29.28,59,0.61,0,0.00,1,0.00,3854,29.89
Madhepura,11677,81.43,10,1.07,5,0.26,2,0.02,11694,82.79
Madhubani,13295,114.39,87,4.67,1,0.00,2,0.02,13385,119.08
Munger,7716,80.46,247,2.36,2,0.00,6,0.04,7971,82.87
Muzaffarpur,25750,274.22,294,11.09,8,0.19,10,0.25,26062,285.75
Nalanda,13691,139.17,164,9.82,26,10.13,7,0.15,13888,159.27
Nawada,9650,72.22,262,6.17,13,0.11,4,0.07,9929,78.57
Pashchim Champaran,12278,107.37,109,9.54,1,0.01,10,0.16,12398,117.08
Patna,30336,891.08,711,248.62,51,30.59,48,1.81,31146,1172.10
Purbi Champaran,16895,156.56,104,11.74,13,0.26,7,0.16,17019,168.72
Purnia,12143,129.09,71,8.95,0,0.00,10,0.26,12224,138.30
Rohtas,18501,174.30,97,6.96,11,0.12,6,0.06,18615,181.45
Saharsa,8936,75.62,54,3.62,0,0.00,2,0.03,8992,79.27
Samastipur,10958,130.25,111,10.26,6,0.07,13,0.04,11088,140.62
Saran,18452,180.40,168,5.10,1,0.02,30,0.11,18651,185.63
Sheikhpura,2940,29.29,15,1.33,1,0.02,1,0.01,2957,30.65
Sheohar,3009,32.11,8,0.58,2,0.12,0,0.00,3019,32.81
Sitamarhi,11793,107.86,31,0.72,0,0.00,2,0.02,11826,108.60
Siwan,9555,123.64,65,6.14,4,0.14,10,0.24,9634,130.15
Supaul,8913,67.43,37,2.13,0,0.00,1,0.00,8951,69.57
Vaishali,13971,145.46,59,5.95,0,0.00,15,0.77,14045,152.18
