district,applications_received,applications_accepted,applications_sanctioned,sanctioned,rejected_returned,rejected_returned,pendency_more_than_15_days
Araria,352,350,70,20.00,78.00,78.00,7
Arwal,317,317,14,4.42,80.13,80.13,49
Aurangabad,656,641,32,4.99,93.14,93.14,12
Banka,334,334,71,21.26,76.05,76.05,9
Begusarai,535,473,67,14.16,84.57,84.57,6
Bhagalpur,14,14,0,0.00,100.00,100.00,0
Bhojpur,32,32,4,12.50,71.88,71.88,5
Buxar,223,223,134,60.09,39.01,39.01,2
Darbhanga,14,14,0,0.00,100.00,100.00,0
Gaya,496,496,134,27.02,70.56,70.56,12
Gopalganj,293,293,57,19.45,60.07,60.07,60
Jamui,567,567,20,3.53,79.54,79.54,96
Jehanabad,138,128,18,14.06,85.94,85.94,0
Kaimur (Bhabua),177,177,7,3.95,96.05,96.05,0
Katihar,269,248,4,1.61,67.74,67.74,76
Khagaria,1881,1881,1,0.05,99.95,99.95,0
Kishanganj,169,169,27,15.98,84.02,84.02,0
Lakhisarai,370,370,85,22.97,77.03,77.03,0
Madhepura,332,332,18,5.42,84.94,84.94,32
Madhubani,311,311,40,12.86,81.35,81.35,18
Munger,490,490,14,2.86,91.84,91.84,26
Muzaffarpur,590,590,93,15.76,75.42,75.42,52
Nalanda,91,91,11,12.09,85.71,85.71,2
Nawada,212,212,15,7.08,90.09,90.09,6
Pashchim Champaran,609,609,139,22.82,71.10,71.10,37
Patna,110,110,6,5.45,69.09,69.09,28
Purbi Champaran,316,309,75,24.27,53.07,53.07,70
Purnia,335,335,16,4.78,57.01,57.01,124
Rohtas,31,31,2,6.45,87.10,87.10,2
Saharsa,403,237,43,18.14,81.86,81.86,0
Samastipur,235,213,47,22.07,72.30,72.30,12
Saran,534,534,11,2.06,93.82,93.82,22
Sheikhpura,370,337,53,15.73,51.93,51.93,109
Sheohar,36,36,4,11.11,88.89,88.89,0
Sitamarhi,112,112,30,26.79,73.21,73.21,0
Siwan,269,269,40,14.87,64.31,64.31,56
Supaul,287,126,1,0.79,93.65,93.65,7
Vaishali,214,214,25,11.68,71.03,71.03,36
