District,TARGET NO.,AMT,Disbursed No.,% Achievement No.
Araria,2833,395,5629,198.69
Arwal,1019,141,249,24.44
Aurangabad,6165,862,1558,25.27
Banka,2260,315,2226,98.50
Begusarai,4559,637,3014,66.11
Bhagalpur,5297,740,3053,57.64
Bhojpur,4992,697,1444,28.93
Buxar,2915,407,1005,34.48
Darbhanga,4848,677,4331,89.34
Gaya,5663,791,6179,109.11
Gopalganj,5912,826,3526,59.64
Jamui,1931,269,1594,82.55
Jehanabad,1618,225,628,38.81
Kaimur (Bhabua),3701,517,1317,35.58
Katihar,2933,409,6002,204.64
Khagaria,2511,350,2090,83.23
Kishanganj,1623,226,3055,188.23
Lakhisarai,1703,237,826,48.50
Madhepura,1960,273,6399,326.48
Madhubani,3854,538,6872,178.31
Munger,2017,281,574,28.46
Muzaffarpur,7204,1007,8136,112.94
Nalanda,4155,580,1558,37.50
Nawada,2268,316,946,41.71
Pashchim Champaran,3753,524,3553,94.67
Patna,8144,1138,17329,212.78
Purbi Champaran,5749,803,14273,248.27
Purnia,3033,423,7729,254.83
Rohtas,4088,571,1958,47.90
Saharsa,2423,338,5605,231.32
Samastipur,5416,757,5729,105.78
Saran,4847,677,9114,188.03
Sheikhpura,932,129,195,20.92
Sheohar,768,106,1434,186.72
Sitamarhi,2804,391,4824,172.04
Siwan,4459,623,7882,176.77
Supaul,2259,315,6965,308.32
Vaishali,10288,1439,7360,71.54
