district,kcc_animal_husbandry_outstanding_as_on_30_06_2025_no,amt,kcc_npa_as_on_30_06_2025_no,amt,age_npa_no,amt,rupay_card_issued_no,rupay_card_activated_no
Araria,3295,11.36,484,11.36,14.69,11.36,255,239
Arwal,649,11.73,29,11.73,4.47,11.73,23,18
Aurangabad,2151,1.71,35,1.71,1.63,1.71,132,116
Banka,2205,10.42,250,10.42,11.34,10.42,431,365
Begusarai,4263,4.85,1527,4.85,35.82,4.85,746,498
Bhagalpur,3862,15.86,702,15.86,18.18,15.86,366,333
Bhojpur,2258,3.79,77,3.79,3.41,3.79,45,34
Buxar,3013,3.07,69,3.07,2.29,3.07,117,90
Darbhanga,2426,7.41,183,7.41,7.54,7.41,357,293
Gaya,1962,3.48,49,3.48,2.50,3.48,305,261
Gopalganj,2358,2.19,107,2.19,4.54,2.19,564,519
Jamui,1971,6.76,156,6.76,7.91,6.76,643,529
Jehanabad,519,12.13,78,12.13,15.03,12.13,148,100
Kaimur (Bhabua),1950,4.69,91,4.69,4.67,4.69,62,54
Katihar,1364,9.76,349,9.76,25.59,9.76,153,88
Khagaria,4250,4.99,255,4.99,6.00,4.99,335,271
Kishanganj,1190,8.10,195,8.10,16.39,8.10,182,101
Lakhisarai,1366,11.62,207,11.62,15.15,11.62,254,211
Madhepura,1369,7.88,202,7.88,14.76,7.88,137,120
Madhubani,1996,3.22,67,3.22,3.36,3.22,87,77
Munger,1841,6.49,83,6.49,4.51,6.49,180,161
Muzaffarpur,5850,6.50,461,6.50,7.88,6.50,1052,805
Nalanda,2993,4.41,195,4.41,6.52,4.41,307,268
Nawada,2226,6.69,173,6.69,7.77,6.69,65,51
Pashchim Champaran,4180,7.21,218,7.21,5.22,7.21,192,182
Patna,2242,21.07,432,21.07,19.27,21.07,368,260
Purbi Champaran,4458,10.92,493,10.92,11.06,10.92,261,226
Purnia,1415,12.33,298,12.33,21.06,12.33,92,64
Rohtas,1137,7.11,68,7.11,5.98,7.11,152,129
Saharsa,1476,11.64,221,11.64,14.97,11.64,589,471
Samastipur,7173,6.14,476,6.14,6.64,6.14,773,606
Saran,1122,5.94,105,5.94,9.36,5.94,122,81
Sheikhpura,2063,7.13,155,7.13,7.51,7.13,291,279
Sheohar,1673,10.00,150,10.00,8.97,10.00,61,56
Sitamarhi,2361,13.02,266,13.02,11.27,13.02,276,236
Siwan,905,2.63,47,2.63,5.19,2.63,218,172
Supaul,937,6.61,71,6.61,7.58,6.61,97,53
Vaishali,1999,6.59,253,6.59,12.66,6.59,556,423
