district,kcc_outstanding_as_on_30_09_2025_no,amt,kcc_npa_as_on_30_09_2025_no,amt,age_npa_no,amt,rupay_card_issued_no,rupay_card_activated_no
Araria,98356,27.77,26507,27.77,26.95,27.77,36606,2012
Arwal,16607,54.61,9279,54.61,55.87,54.61,5785,4808
Aurangabad,84783,60.92,45891,60.92,54.13,60.92,39334,22103
Banka,68102,53.81,36796,53.81,54.03,53.81,14279,3046
Begusarai,165084,36.11,51260,36.11,31.05,36.11,34757,6589
Bhagalpur,95628,39.34,37678,39.34,39.40,39.34,22409,4873
Bhojpur,70952,54.05,34932,54.05,49.23,54.05,18415,12018
Buxar,69674,58.31,38159,58.31,54.77,58.31,20503,13144
Darbhanga,85666,15.63,10358,15.63,12.09,15.63,27899,2258
Gaya,114882,52.55,54095,52.55,47.09,52.55,32505,10139
Gopalganj,124819,28.86,38986,28.86,31.23,28.86,22154,3710
Jamui,86959,51.00,43981,51.00,50.58,51.00,12126,2982
Jehanabad,23078,63.37,15006,63.37,65.02,63.37,8060,6061
Kaimur (Bhabua),62031,51.52,30555,51.52,49.26,51.52,30148,10736
Katihar,93962,29.77,31087,29.77,33.08,29.77,19119,3523
Khagaria,102620,46.28,53559,46.28,52.19,46.28,21393,2278
Kishanganj,79693,27.51,21132,27.51,26.52,27.51,28598,1399
Lakhisarai,45787,57.68,26568,57.68,58.03,57.68,3696,953
Madhepura,56666,38.00,19565,38.00,34.53,38.00,21408,1873
Madhubani,171444,19.03,30507,19.03,17.79,19.03,55078,5968
Munger,47194,50.82,23705,50.82,50.23,50.82,5087,2059
Muzaffarpur,196116,27.66,57444,27.66,29.29,27.66,45305,7341
Nalanda,94280,63.69,59412,63.69,63.02,63.69,24841,13330
Nawada,84860,36.97,27841,36.97,32.81,36.97,21567,13343
Pashchim Champaran,179417,23.77,40478,23.77,22.56,23.77,61903,6910
Patna,87413,55.91,54239,55.91,62.05,55.91,25872,14824
Purbi Champaran,262857,29.34,71861,29.34,27.34,29.34,71684,11160
Purnia,121955,28.81,37421,28.81,30.68,28.81,37318,7076
Rohtas,99157,58.76,49490,58.76,49.91,58.76,33033,20665
Saharsa,65901,30.20,20468,30.20,31.06,30.20,21911,2884
Samastipur,205582,35.39,72359,35.39,35.20,35.39,43251,6181
Saran,90214,33.76,33157,33.76,36.75,33.76,17967,2996
Sheikhpura,29103,43.11,12968,43.11,44.56,43.11,4017,1130
Sheohar,27885,27.60,9316,27.60,33.41,27.60,7152,757
Sitamarhi,109942,32.63,36253,32.63,32.97,32.63,32625,2550
Siwan,96523,31.70,29386,31.70,30.44,31.70,17858,2516
Supaul,79879,35.79,32649,35.79,40.87,35.79,19541,2673
Vaishali,133487,32.42,48776,32.42,36.54,32.42,28786,5294
