district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,60,152.20,46,152.20,76.67,152.20
Arwal,16,16.75,11,16.75,68.75,16.75
Aurangabad,96,10.96,29,10.96,30.21,10.96
Banka,60,68.93,16,68.93,26.67,68.93
Begusarai,128,67.88,30,67.88,23.44,67.88
Bhagalpur,132,21.73,37,21.73,28.03,21.73
Bhojpur,128,5.66,30,5.66,23.44,5.66
Buxar,72,28.00,67,28.00,93.06,28.00
Darbhanga,116,9.38,85,9.38,73.28,9.38
Gaya,156,25.41,32,25.41,20.51,25.41
Gopalganj,96,0.46,3,0.46,3.13,0.46
Jamui,60,4.07,10,4.07,16.67,4.07
Jehanabad,40,16.20,9,16.20,22.50,16.20
Kaimur (Bhabua),52,15.15,16,15.15,30.77,15.15
Katihar,80,52.75,33,52.75,41.25,52.75
Khagaria,48,17.08,17,17.08,35.42,17.08
Kishanganj,40,46.10,14,46.10,35.00,46.10
Lakhisarai,40,2.90,6,2.90,15.00,2.90
Madhepura,36,40.67,20,40.67,55.56,40.67
Madhubani,136,9.47,22,9.47,16.18,9.47
Munger,60,11.20,16,11.20,26.67,11.20
Muzaffarpur,192,24.19,77,24.19,40.10,24.19
Nalanda,124,26.90,26,26.90,20.97,26.90
Nawada,76,18.37,7,18.37,9.21,18.37
Pashchim Champaran,108,10.44,27,10.44,25.00,10.44
Patna,788,13.57,404,13.57,51.27,13.57
Purbi Champaran,144,13.19,19,13.19,13.19,13.19
Purnia,104,142.69,83,142.69,79.81,142.69
Rohtas,124,12.94,38,12.94,30.65,12.94
Saharsa,36,19.22,9,19.22,25.00,19.22
Samastipur,128,77.81,51,77.81,39.84,77.81
Saran,104,2.31,18,2.31,17.31,2.31
Sheikhpura,20,10.20,3,10.20,15.00,10.20
Sheohar,16,1.25,9,1.25,56.25,1.25
Sitamarhi,84,15.90,103,15.90,122.62,15.90
Siwan,140,8.17,134,8.17,95.71,8.17
Supaul,40,13.50,12,13.50,30.00,13.50
Vaishali,120,9.63,63,9.63,52.50,9.63
