district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Araria,40,291.95,18008,291.95,9,291.95,14,291.95,0,291.95,53,291.95,18124,291.95
Arwal,7,12.34,1070,12.34,1,12.34,6,12.34,0,12.34,4,12.34,1088,12.34
Aurangabad,16,54.44,3793,54.44,10,54.44,10,54.44,0,54.44,19,54.44,3848,54.44
Banka,13,30.48,2244,30.48,1,30.48,5,30.48,3,30.48,4,30.48,2270,30.48
Begusarai,38,134.86,11892,134.86,183,134.86,10,134.86,2,134.86,11,134.86,12136,134.86
Bhagalpur,117,179.84,12358,179.84,52,179.84,18,179.84,1,179.84,25,179.84,12571,179.84
Bhojpur,55,73.70,6439,73.70,28,73.70,19,73.70,0,73.70,23,73.70,6564,73.70
Buxar,10,25.97,2221,25.97,8,25.97,10,25.97,0,25.97,10,25.97,2259,25.97
Darbhanga,66,163.30,9583,163.30,72,163.30,17,163.30,0,163.30,16,163.30,9754,163.30
Gaya,663,241.72,15502,241.72,5515,241.72,616,241.72,50,241.72,53,241.72,22399,241.72
Gopalganj,33,100.40,5393,100.40,19,100.40,9,100.40,0,100.40,5,100.40,5459,100.40
Jamui,36,36.85,3074,36.85,7,36.85,13,36.85,0,36.85,8,36.85,3138,36.85
Jehanabad,5,23.91,1603,23.91,2,23.91,3,23.91,0,23.91,4,23.91,1617,23.91
Kaimur (Bhabua),8,37.58,2779,37.58,5,37.58,8,37.58,0,37.58,5,37.58,2805,37.58
Katihar,242,303.66,21973,303.66,9,303.66,57,303.66,0,303.66,12,303.66,22293,303.66
Khagaria,12,30.74,3179,30.74,4,30.74,6,30.74,0,30.74,6,30.74,3207,30.74
Kishanganj,181,375.12,29702,375.12,7,375.12,15,375.12,0,375.12,23,375.12,29928,375.12
Lakhisarai,6,8.00,962,8.00,2,8.00,3,8.00,1,8.00,1,8.00,975,8.00
Madhepura,26,60.22,6412,60.22,9,60.22,6,60.22,0,60.22,9,60.22,6462,60.22
Madhubani,28,105.13,7497,105.13,10,105.13,21,105.13,0,105.13,14,105.13,7570,105.13
Munger,17,40.22,1871,40.22,3,40.22,10,40.22,0,40.22,7,40.22,1908,40.22
Muzaffarpur,107,253.33,19493,253.33,265,253.33,50,253.33,1,253.33,22,253.33,19938,253.33
Nalanda,66,56.12,3565,56.12,29,56.12,11,56.12,0,56.12,10,56.12,3681,56.12
Nawada,141,49.34,4395,49.34,17,49.34,4,49.34,0,49.34,11,49.34,4568,49.34
Pashchim Champaran,89,146.68,8451,146.68,21,146.68,47,146.68,2,146.68,19,146.68,8629,146.68
Patna,377,606.47,48509,606.47,847,606.47,149,606.47,10,606.47,66,606.47,49958,606.47
Purbi Champaran,81,246.04,12228,246.04,260,246.04,25,246.04,3,246.04,19,246.04,12616,246.04
Purnia,142,446.35,28351,446.35,37,446.35,18,446.35,1,446.35,27,446.35,28576,446.35
Rohtas,117,71.13,4419,71.13,9,71.13,54,71.13,2,71.13,4,71.13,4605,71.13
Saharsa,19,70.91,4850,70.91,5,70.91,12,70.91,0,70.91,4,70.91,4890,70.91
Samastipur,50,118.07,9000,118.07,24,118.07,37,118.07,1,118.07,20,118.07,9132,118.07
Saran,43,95.42,5991,95.42,29,95.42,27,95.42,1,95.42,22,95.42,6113,95.42
Sheikhpura,22,7.27,552,7.27,7,7.27,3,7.27,0,7.27,3,7.27,587,7.27
Sheohar,1,13.90,991,13.90,4,13.90,3,13.90,0,13.90,3,13.90,1002,13.90
Sitamarhi,19,88.46,5104,88.46,9,88.46,65,88.46,0,88.46,25,88.46,5222,88.46
Siwan,101,212.92,21546,212.92,83,212.92,11,212.92,1,212.92,26,212.92,21768,212.92
Supaul,21,56.48,3672,56.48,12,56.48,15,56.48,1,56.48,7,56.48,3728,56.48
Vaishali,87,203.93,37636,203.93,39,203.93,23,203.93,1,203.93,8,203.93,37794,203.93
