district,target,loan_under_process,loan_sanctioned,sanction,loan_disbursed,disbursed,loan_rejected,grand_total
Araria,210,72,58,27.62,29,13.81,270,400
Arwal,90,55,35,38.89,18,20.00,37,127
Aurangabad,240,133,53,22.08,26,10.83,248,434
Banka,180,84,72,40.00,39,21.67,193,349
Begusarai,360,214,139,38.61,76,21.11,268,621
Bhagalpur,470,289,82,17.45,52,11.06,211,582
Bhojpur,340,312,98,28.82,56,16.47,320,730
Buxar,190,198,92,48.42,67,35.26,226,516
Darbhanga,410,287,126,30.73,66,16.10,599,1012
Gaya,450,561,157,34.89,88,19.56,552,1270
Gopalganj,280,241,95,33.93,50,17.86,332,668
Jamui,130,78,56,43.08,36,27.69,102,236
Jehanabad,140,81,53,37.86,32,22.86,154,288
Kaimur (Bhabua),170,132,47,27.65,25,14.71,144,323
Katihar,270,183,112,41.48,46,17.04,474,769
Khagaria,170,96,67,39.41,41,24.12,190,353
Kishanganj,140,117,70,50.00,35,25.00,359,546
Lakhisarai,110,83,34,30.91,22,20.00,104,221
Madhepura,180,81,56,31.11,25,13.89,292,429
Madhubani,370,175,128,34.59,50,13.51,675,978
Munger,240,106,54,22.50,35,14.58,108,268
Muzaffarpur,610,506,189,30.98,99,16.23,1058,1753
Nalanda,340,253,109,32.06,64,18.82,377,739
Nawada,160,117,66,41.25,43,26.88,185,368
Pashchim Champaran,340,245,106,31.18,51,15.00,527,878
Patna,830,638,341,41.08,184,22.17,628,1607
Purbi Champaran,440,297,163,37.05,71,16.14,811,1271
Purnia,380,242,97,25.53,48,12.63,617,956
Rohtas,340,254,102,30.00,50,14.71,285,641
Saharsa,220,257,69,31.36,41,18.64,730,1056
Samastipur,450,375,140,31.11,76,16.89,620,1135
Saran,340,324,149,43.82,77,22.65,485,958
Sheikhpura,90,49,30,33.33,15,16.67,103,182
Sheohar,80,50,45,56.25,30,37.50,241,336
Sitamarhi,360,190,177,49.17,83,23.06,1392,1759
Siwan,300,363,150,50.00,84,28.00,483,996
Supaul,220,152,92,41.82,61,27.73,592,836
Vaishali,360,218,111,30.83,73,20.28,617,946
