District,TARGET No.,Amt.,DISBURSED No.,Amt.,% ACHIEVEMENT No.,Amt.
Araria,4680,117,1131,9.37,24.17,8.01
Arwal,1480,37,93,0.62,6.28,1.68
Aurangabad,5040,126,261,2.03,5.18,1.61
Banka,4000,100,1933,14.20,48.33,14.20
Begusarai,8280,207,2919,20.34,35.25,9.83
Bhagalpur,7760,194,2331,16.37,30.04,8.44
Bhojpur,6400,160,641,5.25,10.02,3.28
Buxar,3560,89,92,0.58,2.58,0.65
Darbhanga,7000,175,1819,14.63,25.99,8.36
Gaya,9480,237,700,13.58,7.38,5.73
Gopalganj,5840,146,1107,9.82,18.96,6.73
Jamui,3280,82,498,4.99,15.18,6.09
Jehanabad,2320,58,159,1.65,6.85,2.84
Kaimur (Bhabua),3120,78,171,1.67,5.48,2.14
Katihar,5720,143,1421,10.38,24.84,7.26
Khagaria,3080,77,4033,28.17,130.94,36.58
Kishanganj,3160,79,484,2.37,15.32,3.00
Lakhisarai,2520,63,904,6.51,35.87,10.33
Madhepura,3080,77,783,5.77,25.42,7.49
Madhubani,6920,173,1348,9.07,19.48,5.24
Munger,3480,87,1267,7.78,36.41,8.94
Muzaffarpur,14000,350,5703,41.52,40.74,11.86
Nalanda,6320,158,2261,14.85,35.78,9.40
Nawada,4440,111,109,0.74,2.45,0.67
Pashchim Champaran,6160,154,2185,14.57,35.47,9.46
Patna,40640,1016,7588,60.41,18.67,5.95
Purbi Champaran,8800,220,2225,16.55,25.28,7.52
Purnia,6600,165,1282,8.53,19.42,5.17
Rohtas,6600,165,559,4.14,8.47,2.51
Saharsa,2360,59,1198,8.21,50.76,13.92
Samastipur,8360,209,5195,39.78,62.14,19.03
Saran,7960,199,1597,10.03,20.06,5.04
Sheikhpura,1600,40,712,3.78,44.50,9.45
Sheohar,1080,27,1379,10.08,127.69,37.33
Sitamarhi,4240,106,2066,14.89,48.73,14.05
Siwan,9400,235,1264,9.58,13.45,4.08
Supaul,3160,79,422,3.62,13.35,4.58
Vaishali,7640,191,2189,21.53,28.65,11.27
