District,KCC NEW TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT,KCC RENEW TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT,TOTAL KCC (NEW+RENEW) TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT
Araria,15512,217,1231,20.29,7.94,9.35,32508,455,16225,227.91,49.91,50.09,48020,672,17456,248.20,36.35,36.93
Arwal,5797,81,392,3.43,6.76,4.23,17222,241,1848,9.29,10.73,3.85,23019,322,2240,12.72,9.73,3.95
Aurangabad,18653,261,1831,16.46,9.82,6.31,53508,749,5826,54.16,10.89,7.23,72161,1010,7657,70.62,10.61,6.99
Banka,12367,173,1863,14.80,15.06,8.55,27720,388,4200,25.65,15.15,6.61,40087,561,6063,40.45,15.12,7.21
Begusarai,21228,297,1595,12.31,7.51,4.14,52150,730,19838,155.92,38.04,21.36,73378,1027,21433,168.23,29.21,16.38
Bhagalpur,26656,373,3079,34.64,11.55,9.29,61722,864,7920,88.85,12.83,10.28,88378,1237,10999,123.49,12.45,9.98
Bhojpur,22371,313,2033,19.95,9.09,6.37,68293,956,5831,41.93,8.54,4.39,90664,1269,7864,61.88,8.67,4.88
Buxar,14439,202,2652,26.63,18.37,13.18,39723,556,4550,43.09,11.45,7.75,54162,758,7202,69.72,13.30,9.20
Darbhanga,23300,326,615,8.04,2.64,2.47,68793,963,24796,226.70,36.04,23.54,92093,1289,25411,234.74,27.59,18.21
Gaya,30299,424,5170,49.74,17.06,11.73,79436,1112,7941,58.33,10.00,5.25,109735,1536,13111,108.07,11.95,7.04
Gopalganj,18083,253,1458,11.72,8.06,4.63,50151,702,21447,239.51,42.76,34.12,68234,955,22905,251.23,33.57,26.31
Jamui,11866,166,3554,25.27,29.95,15.22,33578,470,7481,47.04,22.28,10.01,45444,636,11035,72.31,24.28,11.37
Jehanabad,8869,124,445,4.75,5.02,3.83,25008,350,2834,32.11,11.33,9.17,33877,474,3279,36.86,9.68,7.78
Kaimur (Bhabua),11866,166,2036,29.77,17.16,17.93,31150,436,5158,89.50,16.56,20.53,43016,602,7194,119.27,16.72,19.81
Katihar,17582,246,940,18.83,5.35,7.65,38292,536,19517,264.00,50.97,49.25,55874,782,20457,282.83,36.61,36.17
Khagaria,10795,151,1438,15.49,13.32,10.26,27650,387,10464,95.08,37.84,24.57,38445,538,11902,110.57,30.96,20.55
Kishanganj,10225,143,732,8.78,7.16,6.14,21363,299,15923,167.80,74.54,56.12,31588,442,16655,176.58,52.73,39.95
Lakhisarai,8296,116,1359,11.24,16.38,9.69,22579,316,2243,22.60,9.93,7.15,30875,432,3602,33.84,11.67,7.83
Madhepura,11153,156,705,10.15,6.32,6.51,30722,430,12102,178.75,39.39,41.57,41875,586,12807,188.90,30.58,32.24
Madhubani,26084,365,1108,9.36,4.25,2.56,80937,1133,31966,316.36,39.49,27.92,107021,1498,33074,325.72,30.90,21.74
Munger,13010,182,2225,18.83,17.10,10.35,35436,496,3008,20.10,8.49,4.05,48446,678,5233,38.93,10.80,5.74
Muzaffarpur,37369,523,2110,34.54,5.65,6.60,91863,1286,37599,439.52,40.93,34.18,129232,1809,39709,474.06,30.73,26.21
Nalanda,23511,329,2192,22.35,9.32,6.79,72722,1018,6183,56.93,8.50,5.59,96233,1347,8375,79.28,8.70,5.89
Nawada,14440,202,2731,28.00,18.91,13.86,40509,567,4239,40.92,10.46,7.22,54949,769,6970,68.92,12.68,8.96
Pashchim Champaran,22155,310,2951,27.67,13.32,8.93,58292,816,38684,470.54,66.36,57.66,80447,1126,41635,498.21,51.75,44.25
Patna,87373,1223,1196,43.60,1.37,3.57,188150,2634,6411,107.09,3.41,4.07,275523,3857,7607,150.69,2.76,3.91
Purbi Champaran,27583,386,1499,18.15,5.43,4.70,74364,1041,40048,500.66,53.85,48.09,101947,1427,41547,518.81,40.75,36.36
Purnia,21726,304,1824,30.40,8.40,10.00,50008,700,26705,388.57,53.40,55.51,71734,1004,28529,418.97,39.77,41.73
Rohtas,23010,322,4425,43.53,19.23,13.52,61722,864,7451,98.51,12.07,11.40,84732,1186,11876,142.04,14.02,11.98
Saharsa,9369,131,961,14.83,10.26,11.32,23007,322,12419,176.96,53.98,54.96,32376,453,13380,191.79,41.33,42.34
Samastipur,27726,388,5316,45.15,19.17,11.64,73793,1033,25471,219.64,34.52,21.26,101519,1421,30787,264.79,30.33,18.63
Saran,24868,348,1528,13.90,6.14,3.99,67651,947,19200,230.53,28.38,24.34,92519,1295,20728,244.43,22.40,18.87
Sheikhpura,6011,84,452,6.81,7.52,8.11,17722,248,3364,29.20,18.98,11.77,23733,332,3816,36.01,16.08,10.85
Sheohar,4154,58,304,6.53,7.32,11.26,11508,161,5030,67.81,43.71,42.12,15662,219,5334,74.34,34.06,33.95
Sitamarhi,15797,221,723,11.72,4.58,5.30,41579,582,20236,255.26,48.67,43.86,57376,803,20959,266.98,36.53,33.25
Siwan,23942,335,1027,8.63,4.29,2.58,64794,907,22909,296.04,35.36,32.64,88736,1242,23936,304.67,26.97,24.53
Supaul,11582,162,1284,12.72,11.09,7.85,29294,410,16788,233.56,57.31,56.97,40876,572,18072,246.28,44.21,43.06
Vaishali,24224,339,2189,37.66,9.04,11.11,63937,895,23019,273.49,36.00,30.56,88161,1234,25208,311.15,28.59,25.21
