district,application_received_no,application_sanctioned_no,amount,application_disbursed_no,amount,application_under_process_no,application_rejected_no
Araria,1579,265,150.74,189,150.74,51,1262
Arwal,112,44,39.25,41,39.25,12,56
Aurangabad,364,165,138.30,144,138.30,35,164
Banka,1970,495,348.03,455,348.03,129,1345
Begusarai,1058,378,303.75,325,303.75,71,608
Bhagalpur,3294,1039,759.75,901,759.75,177,2069
Bhojpur,711,259,163.94,168,163.94,44,405
Buxar,420,134,85.28,89,85.28,22,258
Darbhanga,1068,440,328.72,371,328.72,45,579
Gaya,1959,772,649.17,690,649.17,111,1074
Gopalganj,669,147,79.95,106,79.95,44,475
Jamui,2211,473,225.32,355,225.32,43,1695
Jehanabad,515,224,181.35,194,181.35,28,263
Kaimur (Bhabua),599,202,157.98,171,157.98,48,347
Katihar,1517,482,278.80,363,278.80,24,1011
Khagaria,765,197,112.40,139,112.40,62,506
Kishanganj,1028,349,251.02,277,251.02,44,634
Lakhisarai,751,293,210.33,231,210.33,27,430
Madhepura,2692,506,245.98,397,245.98,34,2151
Madhubani,2526,748,446.02,519,446.02,138,1639
Munger,216,72,41.35,47,41.35,16,128
Muzaffarpur,4772,1245,908.95,1015,908.95,179,3344
Nalanda,436,176,89.22,116,89.22,19,241
Nawada,1281,402,294.80,327,294.80,87,788
Pashchim Champaran,1903,395,236.14,271,236.14,95,1412
Patna,2417,844,634.31,729,634.31,120,1448
Purbi Champaran,4192,1228,752.50,932,752.50,127,2816
Purnia,1713,506,292.67,449,292.67,31,1174
Rohtas,4797,1420,1132.52,1208,1132.52,111,3264
Saharsa,4152,654,421.06,566,421.06,92,3401
Samastipur,3496,822,430.69,563,430.69,173,2495
Saran,3378,1002,772.39,862,772.39,112,2259
Sheikhpura,245,89,66.21,76,66.21,15,141
Sheohar,737,138,79.24,92,79.24,24,573
Sitamarhi,4671,825,468.01,590,468.01,174,3659
Siwan,1102,266,153.24,186,153.24,69,762
Supaul,2135,420,279.06,355,279.06,66,1649
Vaishali,11127,2231,1564.01,1749,1564.01,385,8491
