district,msme_micro_enterprises_manufacturing_service_including_khadi,amt,small_enterprises_manufacturing_service_s_a_c,amt,medium_enterprises_manufacturing_service_a_c,amt,other_finance_to_msmes_as_indicated_in_master_direction_on_p,amt,total_msmes_ps_a_c,amt
Araria,41479,1503.65,527,1503.65,31,1503.65,11,1503.65,42048,1503.65
Arwal,7812,255.05,112,255.05,2,255.05,10,255.05,7936,255.05
Aurangabad,24712,1252.15,428,1252.15,106,1252.15,30,1252.15,25276,1252.15
Banka,22506,630.49,221,630.49,5,630.49,28,630.49,22760,630.49
Begusarai,52663,3065.68,1423,3065.68,185,3065.68,154,3065.68,54425,3065.68
Bhagalpur,69585,3076.14,966,3076.14,267,3076.14,196,3076.14,71014,3076.14
Bhojpur,32499,1281.95,511,1281.95,21,1281.95,46,1281.95,33077,1281.95
Buxar,22938,800.95,541,800.95,10,800.95,13,800.95,23502,800.95
Darbhanga,50390,2130.13,749,2130.13,59,2130.13,53,2130.13,51251,2130.13
Gaya,64456,3395.2,1183,3395.2,106,3395.2,134,3395.2,65879,3395.2
Gopalganj,23535,1178.6,338,1178.6,238,1178.6,36,1178.6,24147,1178.6
Jamui,23317,542.37,170,542.37,15,542.37,35,542.37,23537,542.37
Jehanabad,18325,514.61,209,514.61,40,514.61,10,514.61,18584,514.61
Kaimur (Bhabua),15301,560.91,258,560.91,14,560.91,16,560.91,15589,560.91
Katihar,37533,1699.44,516,1699.44,81,1699.44,24,1699.44,38154,1699.44
Khagaria,21481,645.02,243,645.02,4,645.02,32,645.02,21760,645.02
Kishanganj,25116,772.25,212,772.25,15,772.25,14,772.25,25357,772.25
Lakhisarai,12770,366.81,163,366.81,3,366.81,23,366.81,12959,366.81
Madhepura,23599,771.41,259,771.41,18,771.41,35,771.41,23911,771.41
Madhubani,36187,1391.2,512,1391.2,24,1391.2,39,1391.2,36762,1391.2
Munger,25370,623.35,444,623.35,38,623.35,62,623.35,25914,623.35
Muzaffarpur,89402,5281.38,1854,5281.38,125,5281.38,259,5281.38,91640,5281.38
Nalanda,52713,1685.48,824,1685.48,72,1685.48,149,1685.48,53758,1685.48
Nawada,29396,865.42,698,865.42,52,865.42,36,865.42,30182,865.42
Pashchim Champaran,30406,1634.5,654,1634.5,27,1634.5,103,1634.5,31190,1634.5
Patna,163047,21372.27,7576,21372.27,1773,21372.27,1205,21372.27,173601,21372.27
Purbi Champaran,53732,2594.76,798,2594.76,78,2594.76,136,2594.76,54744,2594.76
Purnia,63333,3396.22,927,3396.22,76,3396.22,74,3396.22,64410,3396.22
Rohtas,38676,1913.16,656,1913.16,60,1913.16,49,1913.16,39441,1913.16
Saharsa,24451,933.1,344,933.1,19,933.1,31,933.1,24845,933.1
Samastipur,52536,2315.08,922,2315.08,53,2315.08,135,2315.08,53646,2315.08
Saran,53285,1776.22,599,1776.22,41,1776.22,99,1776.22,54024,1776.22
Sheikhpura,8617,344.75,172,344.75,7,344.75,20,344.75,8816,344.75
Sheohar,5930,196.02,56,196.02,6,196.02,2,196.02,5994,196.02
Sitamarhi,30805,1262.81,374,1262.81,34,1262.81,213,1262.81,31426,1262.81
Siwan,52376,1755.11,489,1755.11,64,1755.11,39,1755.11,52968,1755.11
Supaul,24171,750.66,314,750.66,16,750.66,45,750.66,24546,750.66
Vaishali,49528,1982.95,571,1982.95,49,1982.95,109,1982.95,50257,1982.95
