District,Other Priority Sector Export Credit A/c,Amt,Education (PS) A/c,Amt,Housing (PS) A/c,Amt,Social Infrastructure A/c,Amt,Renewable Energy A/c,Amt,Other Priority A/c,Amt,Total Other Priority Sector (OPS) A/c,Amt
Araria,0,0.00,195,5.94,139,2.73,0,0.00,3,0.04,9685,22.04,10022,30.76
Arwal,0,0.00,151,5.61,19,0.87,0,0.00,0,0.00,1325,3.29,1495,9.77
Aurangabad,0,0.00,586,18.27,65,2.06,0,0.00,0,0.00,4122,10.73,4773,31.05
Banka,0,0.00,149,4.00,33,1.50,0,0.00,1,0.01,6629,12.81,6812,18.32
Begusarai,0,0.00,359,11.60,153,4.58,1,0.00,7,0.06,8828,15.89,9348,32.13
Bhagalpur,0,0.00,191,5.61,83,4.27,0,0.00,0,0.00,5930,13.31,6204,23.18
Bhojpur,0,0.00,396,14.79,75,4.22,0,0.00,0,0.00,2722,8.38,3193,27.39
Buxar,0,0.00,180,6.51,40,1.60,0,0.00,0,0.00,1711,4.66,1931,12.77
Darbhanga,0,0.00,443,13.70,75,3.94,6,0.01,0,0.00,3532,9.59,4056,27.24
Gaya,0,0.00,664,23.14,174,10.25,1,0.00,1,0.01,3322,9.33,4162,42.74
Gopalganj,0,0.00,227,6.03,750,2.76,0,0.00,0,0.00,5799,14.87,6776,23.67
Jamui,0,0.00,96,3.15,25,0.21,0,0.00,0,0.00,5164,11.85,5285,15.21
Jehanabad,0,0.00,305,9.81,19,1.01,2,0.03,1,0.00,626,1.34,953,12.18
Kaimur (Bhabua),0,0.00,227,8.57,30,1.75,1,0.00,0,0.00,1559,5.66,1817,15.99
Katihar,0,0.00,166,4.67,102,4.20,0,0.00,0,0.00,2849,12.48,3117,21.35
Khagaria,0,0.00,164,4.66,20,1.11,0,0.00,0,0.00,4053,10.16,4237,15.93
Kishanganj,0,0.00,117,2.55,327,6.40,0,0.00,0,0.00,1248,5.13,1692,14.09
Lakhisarai,0,0.00,181,6.29,17,0.92,16,0.06,0,0.00,2186,4.33,2400,11.59
Madhepura,0,0.00,153,4.32,137,3.11,0,0.00,0,0.00,3442,11.45,3732,18.88
Madhubani,0,0.00,520,15.10,74,3.09,0,0.00,0,0.00,7319,16.18,7913,34.36
Munger,0,0.00,133,4.27,49,2.77,0,0.00,0,0.00,3649,7.39,3831,14.43
Muzaffarpur,0,0.00,683,21.25,185,12.95,0,0.00,0,0.00,11500,30.91,12368,65.10
Nalanda,0,0.00,656,19.07,68,4.82,0,0.00,0,0.00,2708,6.93,3432,30.82
Nawada,0,0.00,239,8.66,57,1.98,0,0.00,0,0.00,3068,8.80,3364,19.44
Pashchim Champaran,0,0.00,306,8.95,44,2.85,1,0.09,0,0.00,8519,30.81,8870,42.69
Patna,0,0.00,1408,46.84,485,38.82,456,4.22,1,0.02,11342,28.49,13692,118.38
Purbi Champaran,0,0.00,326,10.17,50,2.50,29,0.10,0,0.00,7463,20.46,7868,33.23
Purnia,0,0.00,233,7.09,610,12.85,1,0.00,0,0.00,5949,14.08,6793,34.02
Rohtas,0,0.00,561,20.30,146,6.90,0,0.00,1,0.01,5984,14.66,6692,41.87
Saharsa,0,0.00,198,5.93,73,2.32,0,0.00,2,0.04,3018,8.76,3291,17.04
Samastipur,0,0.00,499,14.82,67,4.02,0,0.00,1,0.00,7153,19.63,7720,38.47
Saran,0,0.00,443,13.77,81,3.04,1,0.00,0,0.00,4945,14.22,5470,31.03
Sheikhpura,0,0.00,110,3.82,14,0.43,2,0.01,0,0.00,1749,3.85,1875,8.11
Sheohar,0,0.00,47,1.41,64,0.74,0,0.00,0,0.00,889,1.86,1000,4.02
Sitamarhi,0,0.00,256,8.77,67,3.40,0,0.00,1,0.02,2907,8.39,3231,20.57
Siwan,0,0.00,455,14.91,53,2.83,0,0.00,0,0.00,3689,12.93,4197,30.66
Supaul,0,0.00,241,7.60,118,1.99,1,0.00,0,0.00,1772,6.38,2132,15.97
Vaishali,0,0.00,523,16.06,348,6.67,0,0.00,0,0.00,7249,17.61,8120,40.34
