District,TARGET NO.,AMT,ACHIE. NO.,AMT,% ACHIE. NO.,AMT,OUTSTANDING NO.,AMT,NPA NO.,AMT,% NPA NO.,AMT
Araria,410,41.00,185,10.35,45.12,25.24,1449,126.75,139,2.73,9.59,2.15
Arwal,190,19.00,42,2.54,22.11,13.37,238,26.64,19,0.87,7.98,3.27
Aurangabad,520,52.00,267,19.89,51.35,38.25,1816,206.52,65,2.06,3.58,1.00
Banka,480,48.00,150,7.08,31.25,14.75,875,85.95,33,1.50,3.77,1.75
Begusarai,840,84.00,610,27.52,72.62,32.76,3190,333.92,153,4.58,4.80,1.37
Bhagalpur,900,90.00,666,44.21,74.00,49.12,4728,492.51,83,4.27,1.76,0.87
Bhojpur,690,69.00,531,35.15,76.96,50.94,3077,360.54,75,4.22,2.44,1.17
Buxar,460,46.00,210,13.39,45.65,29.11,1584,165.93,40,1.60,2.53,0.96
Darbhanga,790,79.00,435,24.44,55.06,30.94,3801,403.67,75,3.94,1.97,0.98
Gaya,1020,102.00,655,46.21,64.22,45.30,5423,620.04,174,10.25,3.21,1.65
Gopalganj,510,51.00,302,11.11,59.22,21.78,2078,141.20,750,2.76,36.09,1.95
Jamui,360,36.00,91,7.53,25.28,20.92,550,55.53,25,0.21,4.55,0.38
Jehanabad,250,25.00,185,17.84,74.00,71.36,1033,100.99,19,1.01,1.84,1.00
Kaimur (Bhabua),380,38.00,170,9.51,44.74,25.03,881,95.18,30,1.75,3.41,1.84
Katihar,600,60.00,351,29.32,58.50,48.87,2428,281.65,102,4.20,4.20,1.49
Khagaria,310,31.00,64,4.98,20.65,16.06,584,55.99,20,1.11,3.42,1.98
Kishanganj,350,35.00,127,6.71,36.29,19.17,1245,110.82,327,6.40,26.27,5.78
Lakhisarai,290,29.00,96,8.02,33.10,27.66,486,53.98,17,0.92,3.50,1.70
Madhepura,360,36.00,91,6.07,25.28,16.86,835,82.41,137,3.11,16.41,3.77
Madhubani,810,81.00,465,21.36,57.41,26.37,2444,255.81,74,3.09,3.03,1.21
Munger,450,45.00,178,12.01,39.56,26.69,1261,136.53,49,2.77,3.89,2.03
Muzaffarpur,1270,127.00,947,52.06,74.57,40.99,8400,901.22,185,12.95,2.20,1.44
Nalanda,700,70.00,325,17.57,46.43,25.10,2222,249.45,68,4.82,3.06,1.93
Nawada,450,45.00,275,15.11,61.11,33.58,1900,203.64,57,1.98,3.00,0.97
Pashchim Champaran,620,62.00,388,16.35,62.58,26.37,2121,226.14,44,2.85,2.07,1.26
Patna,4100,410.00,3817,286.44,93.10,69.86,35091,4845.49,485,38.82,1.38,0.80
Purbi Champaran,840,84.00,470,15.29,55.95,18.20,2859,283.69,50,2.50,1.75,0.88
Purnia,700,70.00,661,42.79,94.43,61.13,5077,501.93,610,12.85,12.01,2.56
Rohtas,670,67.00,349,22.68,52.09,33.85,2784,290.57,146,6.90,5.24,2.37
Saharsa,310,31.00,110,5.70,35.48,18.39,1079,113.23,73,2.32,6.77,2.05
Samastipur,830,83.00,571,27.73,68.80,33.41,3335,362.12,67,4.02,2.01,1.11
Saran,710,71.00,330,20.98,46.48,29.55,2323,263.62,81,3.04,3.49,1.15
Sheikhpura,200,20.00,44,2.83,22.00,14.15,462,47.36,14,0.43,3.03,0.91
Sheohar,130,13.00,56,1.55,43.08,11.92,371,30.52,64,0.74,17.25,2.42
Sitamarhi,500,50.00,269,12.81,53.80,25.62,1790,183.67,67,3.40,3.74,1.85
Siwan,710,71.00,347,16.06,48.87,22.62,2198,229.96,53,2.83,2.41,1.23
Supaul,390,39.00,117,7.02,30.00,18.00,973,95.26,118,1.99,12.13,2.09
Vaishali,800,80.00,573,27.72,71.63,34.65,3438,345.52,348,6.67,10.12,1.93
