District,TARGET NO.,AMT,Disbursed No.,% Achievement No.
Araria,60,15,46,76.67
Arwal,16,4,11,68.75
Aurangabad,96,24,29,30.21
Banka,60,15,16,26.67
Begusarai,128,32,30,23.44
Bhagalpur,132,33,37,28.03
Bhojpur,128,32,30,23.44
Buxar,72,18,67,93.06
Darbhanga,116,29,85,73.28
Gaya,156,39,32,20.51
Gopalganj,96,24,3,3.13
Jamui,60,15,10,16.67
Jehanabad,40,10,9,22.50
Kaimur (Bhabua),52,13,16,30.77
Katihar,80,20,33,41.25
Khagaria,48,12,17,35.42
Kishanganj,40,10,14,35.00
Lakhisarai,40,10,6,15.00
Madhepura,36,9,20,55.56
Madhubani,136,34,22,16.18
Munger,60,15,16,26.67
Muzaffarpur,192,48,77,40.10
Nalanda,124,31,26,20.97
Nawada,76,19,7,9.21
Pashchim Champaran,108,27,27,25.00
Patna,788,197,404,51.27
Purbi Champaran,144,36,19,13.19
Purnia,104,26,83,79.81
Rohtas,124,31,38,30.65
Saharsa,36,9,9,25.00
Samastipur,128,32,51,39.84
Saran,104,26,18,17.31
Sheikhpura,20,5,3,15.00
Sheohar,16,4,9,56.25
Sitamarhi,84,21,103,122.62
Siwan,140,35,134,95.71
Supaul,40,10,12,30.00
Vaishali,120,30,63,52.50
