District,"No. of
GP","Camp
Conducted",Total PMJDY No.,Enrolment Under PMJJBY,Enrolment Under PMSBY,Enrolment Under APY,"Re-KYC
done for
PMJDY Acc
(A)","Re-KYC done
for Other than
PMJDY Acc
(B)","Total Re-
Kyc done
(A+B)","PMJJBY
Claim
Disbursed","PMSBY
Claim
Disbursed","Nomination
s done in
PMJDY Acc","Nominations
done other
than PMJDY
Acc"
Araria,211,211,40324,26807,45423,6700,57761,44452,102213,0,0,4082,2055
Arwal,64,54,24373,7197,14959,2962,17914,26589,44503,1089,1086,1815,929
Aurangabad,202,202,58998,27043,51762,11379,25846,51087,76933,5,3,2270,2645
Banka,182,182,33314,22729,37678,9308,53089,60532,113621,1,7,26509,5839
Begusarai,217,217,43146,35575,63470,10047,78656,120905,199561,3,1,18086,8778
Bhagalpur,238,534,24881,18373,35945,8251,45574,64336,109910,900,1600,5985,5875
Bhojpur,226,225,35903,21417,46843,9816,42204,36681,78885,0,1,1629,2158
Buxar,136,198,31680,14006,30323,6149,25322,38421,63743,1,1,3608,4093
Darbhanga,322,322,34149,28784,52333,7428,45743,50164,95907,0,0,2330,2751
Gaya,318,311,76424,50963,99110,26230,70914,83504,154418,21,16,10105,9749
Gopalganj,232,694,32761,17216,33528,6192,44019,43216,87235,136,25,9943,9940
Jamui,152,153,29303,21092,30330,6674,35504,48558,84062,0,0,22906,13241
Jehanabad,93,93,11015,16245,27843,2369,10477,26279,36756,0,0,2528,2982
Kaimur (Bhabua),146,146,22284,9489,20108,4837,16328,21614,37942,2,0,1827,730
Katihar,234,736,32840,31348,54058,8855,30219,64027,94246,30,30,4747,3976
Khagaria,113,113,20370,15332,22937,5953,21314,41285,62599,33,39,9251,19283
Kishanganj,125,125,35807,26365,50254,8879,32104,67442,99546,0,0,2357,3341
Lakhisarai,76,76,5556,4491,8124,2117,9797,11358,21155,6,6,4381,548
Madhepura,160,160,23289,16814,26031,7733,31206,37359,68565,14,11,4974,9070
Madhubani,388,994,38515,23217,53640,10646,56422,77447,133869,1,2,14035,17459
Munger,96,96,8283,11097,14336,2830,22097,25687,47784,237,236,3593,3135
Muzaffarpur,381,381,65434,29822,62688,8574,60409,67332,127741,177,276,7990,8432
Nalanda,230,221,26352,18791,36309,8851,43979,48921,92900,17,1,2888,3625
Nawada,182,179,27546,21212,37571,12621,38893,69293,108186,0,0,550,516
Pashchim Champaran,303,303,99778,87819,91447,13441,81094,83224,164318,2951,1648,67231,69494
Patna,313,313,2137,35305,62897,9488,46876,79487,126363,0,0,1811,1044
Purbi Champaran,396,383,132947,53723,91794,14033,110657,81927,192584,0,0,9752,12
Purnia,230,227,54898,25334,47380,9825,46005,59899,105904,0,0,19222,17107
Rohtas,229,229,70469,19769,40536,7070,39597,64571,104168,1,3,4431,5329
Saharsa,135,133,20134,15665,26942,6666,19520,26748,46268,70,0,5702,6101
Samastipur,347,347,61988,70136,96980,10306,76169,109852,186021,6,4,11383,10465
Saran,317,318,45129,26566,47328,9712,45616,49111,94727,2,1,11903,15096
Sheikhpura,49,114,44312,27698,76655,10341,18902,38981,57883,0,0,30636,49365
Sheohar,53,142,9921,10671,13259,6009,13089,16630,29719,0,0,11667,12778
Sitamarhi,260,280,34391,18074,39879,5131,27730,60479,88209,0,1,5177,9258
Siwan,284,853,40072,21819,56062,13547,68261,82940,151201,10,10,15827,20354
Supaul,174,172,39558,23028,40104,11274,34111,48598,82709,9,10,3485,3185
Vaishali,278,278,41280,27303,55338,12417,34632,87327,121959,1209,1652,8126,10682
