District,"Applications
Received","Applications
Accepted","Applications
Sanctioned","%
Sanctioned","Rejected/
Returned","% Rejected/
Returned","Pendency
more than
15 days"
Araria,352,350,70,20.00,273,78.00,7
Arwal,317,317,14,4.42,254,80.13,49
Aurangabad,656,641,32,4.99,597,93.14,12
Banka,334,334,71,21.26,254,76.05,9
Begusarai,535,473,67,14.16,400,84.57,6
Bhagalpur,14,14,0,0.00,14,100.00,0
Bhojpur,32,32,4,12.50,23,71.88,5
Buxar,223,223,134,60.09,87,39.01,2
Darbhanga,14,14,0,0.00,14,100.00,0
Gaya,496,496,134,27.02,350,70.56,12
Gopalganj,293,293,57,19.45,176,60.07,60
Jamui,567,567,20,3.53,451,79.54,96
Jehanabad,138,128,18,14.06,110,85.94,0
Kaimur (Bhabua),177,177,7,3.95,170,96.05,0
Katihar,269,248,4,1.61,168,67.74,76
Khagaria,1881,1881,1,0.05,1880,99.95,0
Kishanganj,169,169,27,15.98,142,84.02,0
Lakhisarai,370,370,85,22.97,285,77.03,0
Madhepura,332,332,18,5.42,282,84.94,32
Madhubani,311,311,40,12.86,253,81.35,18
Munger,490,490,14,2.86,450,91.84,26
Muzaffarpur,590,590,93,15.76,445,75.42,52
Nalanda,91,91,11,12.09,78,85.71,2
Nawada,212,212,15,7.08,191,90.09,6
Pashchim Champaran,609,609,139,22.82,433,71.10,37
Patna,110,110,6,5.45,76,69.09,28
Purnia,335,335,16,4.78,191,57.01,124
Rohtas,31,31,2,6.45,27,87.10,2
Saharsa,403,237,43,18.14,194,81.86,0
Samastipur,235,213,47,22.07,154,72.30,12
Saran,534,534,11,2.06,501,93.82,22
Sheikhpura,370,337,53,15.73,175,51.93,109
Sheohar,36,36,4,11.11,32,88.89,0
Sitamarhi,112,112,30,26.79,82,73.21,0
Siwan,269,269,40,14.87,173,64.31,56
Supaul,287,126,1,0.79,118,93.65,7
Vaishali,214,214,25,11.68,152,71.03,36
