District,KCC - FISHERIES NEW TARGET NO.,AMT,Disbursed No.,% Achievement No.,KCC - FISHERIES RENEW TARGET NO.,TOTAL FISHERIES - AH (NEW+RENEW) TARGET NO.
Araria,220,11,1,0.45,100,320
Arwal,180,9,0,0.00,50,230
Aurangabad,200,10,29,14.50,150,350
Banka,180,9,5,2.78,50,230
Begusarai,240,12,6,2.50,100,340
Bhagalpur,240,12,6,2.50,150,390
Bhojpur,220,11,10,4.55,150,370
Buxar,180,9,4,2.22,50,230
Darbhanga,240,12,3,1.25,200,440
Gaya,260,13,6,2.31,200,460
Gopalganj,200,10,1,0.50,100,300
Jamui,160,8,0,0.00,50,210
Jehanabad,180,9,0,0.00,50,230
Kaimur (Bhabua),160,8,0,0.00,50,210
Katihar,260,13,1,0.38,300,560
Khagaria,240,12,1,0.42,100,340
Kishanganj,180,9,1,0.56,100,280
Lakhisarai,160,8,0,0.00,50,210
Madhepura,180,9,0,0.00,50,230
Madhubani,320,16,10,3.13,350,670
Munger,180,9,0,0.00,100,280
Muzaffarpur,260,13,1,0.38,350,610
Nalanda,220,11,11,5.00,200,420
Nawada,200,10,10,5.00,100,300
Patna,360,18,5,1.39,400,760
Purbi Champaran,220,11,6,2.73,200,420
Purnia,340,17,0,0.00,400,740
Rohtas,200,10,0,0.00,150,350
Saharsa,160,8,2,1.25,50,210
Samastipur,240,12,3,1.25,250,490
Saran,220,11,2,0.91,200,420
Sheikhpura,160,8,0,0.00,50,210
Sheohar,240,12,1,0.42,50,290
Sitamarhi,180,9,4,2.22,100,280
Siwan,240,12,0,0.00,100,340
Supaul,160,8,2,1.25,50,210
Vaishali,220,11,0,0.00,150,370
