District,Other Priority Sector Export Credit A/c,Amt,Education (PS) A/c,Amt,Housing (PS) A/c,Amt,Social Infrastructure A/c,Amt,Renewable Energy A/c,Amt,Other Priority A/c,Amt,"Total Other Priority
Sector (OPS) A/c",Amt
Araria,0,0.00,738,24.26,1449,126.75,1,0.27,22,0.39,32640,135.77,34850,287.43
Arwal,0,0.00,346,12.11,238,26.64,0,0.00,28,0.35,5650,14.02,6262,53.11
Aurangabad,0,0.00,1522,49.41,1816,206.52,2,0.00,55,0.80,18229,50.21,21624,306.94
Banka,0,0.00,579,18.41,875,85.95,22,0.09,41,0.61,20802,149.20,22319,254.25
Begusarai,0,0.00,1755,62.42,3190,333.92,11,0.07,204,3.35,27628,185.96,32788,585.72
Bhagalpur,1,0.09,2211,84.29,4728,492.51,1,0.30,293,4.62,34928,215.35,42162,797.17
Bhojpur,0,0.00,1423,51.11,3077,360.54,2,0.00,137,2.24,16129,57.35,20768,471.24
Buxar,0,0.00,773,28.33,1584,165.93,0,0.00,50,0.66,10953,35.48,13360,230.40
Darbhanga,0,0.00,2421,83.86,3801,403.67,87,0.85,87,1.28,18656,92.57,25052,582.23
Gaya,0,0.00,3984,207.92,5423,620.04,8,0.02,289,4.71,27057,92.68,36761,925.37
Gopalganj,0,0.00,803,26.09,2078,141.20,1,0.01,24,0.38,19715,79.76,22621,247.44
Jamui,0,0.00,367,11.48,550,55.53,0,0.00,34,0.52,15729,49.85,16680,117.39
Jehanabad,0,0.00,774,25.76,1033,100.99,3,0.08,38,0.50,3597,11.95,5445,139.28
Kaimur (Bhabua),0,0.00,549,19.30,881,95.18,1,0.00,52,0.77,12976,50.02,14459,165.26
Katihar,0,0.00,804,33.56,2428,281.65,1,0.01,29,0.38,24424,135.25,27686,450.85
Khagaria,0,0.00,539,17.62,584,55.99,7,0.16,36,0.60,12522,38.67,13688,113.04
Kishanganj,0,0.00,497,19.33,1245,110.82,0,0.00,19,0.33,17060,94.50,18821,224.98
Lakhisarai,0,0.00,558,19.23,486,53.98,321,1.06,28,0.43,7494,23.36,8887,98.06
Madhepura,0,0.00,498,16.31,835,82.41,3,0.26,46,0.70,10712,79.42,12094,179.10
Madhubani,0,0.00,2075,66.96,2444,255.81,3,0.01,46,0.64,18980,51.21,23548,374.63
Munger,0,0.00,725,24.92,1261,136.53,0,0.00,82,1.29,14705,79.65,16773,242.40
Muzaffarpur,0,0.00,3742,139.38,8400,901.22,1,0.00,349,5.93,44333,162.86,56825,1209.40
Nalanda,0,0.00,1687,52.21,2222,249.45,3,0.00,285,4.29,20118,55.58,24315,361.53
Nawada,0,0.00,761,26.57,1900,203.64,3,0.02,110,1.71,16606,42.30,19380,274.24
Pashchim Champaran,0,0.00,1242,42.66,2121,226.14,4,0.15,122,1.98,27592,128.37,31081,399.30
Patna,0,0.00,13173,587.28,35091,4845.49,3481,14.57,1932,34.46,76715,335.86,130392,5817.66
Purbi Champaran,0,0.00,1786,64.27,2859,283.69,557,1.76,183,3.23,33050,120.20,38435,473.16
Purnia,0,0.00,1465,52.01,5077,501.93,2,0.05,94,1.63,33210,104.01,39848,659.64
Rohtas,0,0.00,1705,57.55,2784,290.57,5,0.02,103,1.66,24142,73.65,28739,423.46
Saharsa,0,0.00,712,23.48,1079,113.23,0,0.00,43,0.78,15338,47.93,17172,185.41
Samastipur,0,0.00,2111,68.77,3335,362.12,11,0.09,187,2.88,31250,110.01,36894,543.87
Saran,0,0.00,1491,49.70,2323,263.62,11,0.04,120,2.15,30994,117.63,34939,433.14
Sheikhpura,0,0.00,368,12.34,462,47.36,76,0.21,28,0.53,6081,16.75,7015,77.19
Sheohar,0,0.00,165,5.01,371,30.52,0,0.00,3,0.05,2317,4.69,2856,40.27
Sitamarhi,0,0.00,1158,42.06,1790,183.67,1,0.08,269,4.77,8506,36.53,11724,267.10
Siwan,0,0.00,1380,45.69,2198,229.96,15,0.07,45,0.76,26978,123.77,30616,400.24
Supaul,0,0.00,657,21.47,973,95.26,3,0.02,71,1.10,5502,74.33,7206,192.18
Vaishali,0,0.00,1782,60.09,3438,345.52,0,0.00,235,3.76,30860,79.97,36315,489.34
