District,TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT
Araria,59123,798,19857,500.45,33.59,62.71
Arwal,20160,272,14845,307.69,73.64,113.12
Aurangabad,118379,1598,37325,490.80,31.53,30.71
Banka,46232,624,17505,230.51,37.86,36.94
Begusarai,88159,1190,42229,506.06,47.90,42.53
Bhagalpur,106013,1431,24228,317.16,22.85,22.16
Bhojpur,101642,1372,36864,398.48,36.27,29.04
Buxar,59419,802,19649,256.85,33.07,32.03
Darbhanga,97125,1311,21223,332.56,21.85,25.37
Gaya,119124,1608,48913,637.53,41.06,39.65
Gopalganj,116011,1566,24683,372.53,21.28,23.79
Jamui,39638,535,26629,185.64,67.18,34.70
Jehanabad,30974,418,14914,240.77,48.15,57.60
Kaimur (Bhabua),72529,979,22978,456.67,31.68,46.65
Katihar,62160,839,29756,514.57,47.87,61.33
Khagaria,49937,674,25056,192.04,50.18,28.49
Kishanganj,34381,464,12605,212.25,36.66,45.74
Lakhisarai,34750,469,14732,130.09,42.39,27.74
Madhepura,40009,540,13863,237.17,34.65,43.92
Madhubani,82308,1111,23193,410.68,28.18,36.96
Munger,42454,573,12568,114.50,29.60,19.98
Muzaffarpur,159051,2147,37704,597.71,23.71,27.84
Nalanda,76903,1038,47361,380.00,61.59,36.61
Nawada,47494,641,40379,250.33,85.02,39.05
Pashchim Champaran,77343,1044,33379,449.67,43.16,43.07
Patna,195795,2643,34230,2013.48,17.48,76.18
Purbi Champaran,116902,1578,50184,640.50,42.93,40.59
Purnia,64307,868,27306,442.28,42.46,50.95
Rohtas,85195,1150,34282,525.44,40.24,45.69
Saharsa,46010,621,10119,194.83,21.99,31.37
Samastipur,112677,1521,63595,716.54,56.44,47.11
Saran,98382,1328,20935,371.86,21.28,28.00
Sheikhpura,18972,256,9854,102.18,51.94,39.91
Sheohar,14900,201,5009,89.68,33.62,44.62
Sitamarhi,56531,763,20271,349.18,35.86,45.76
Siwan,95567,1290,20395,404.56,21.34,31.36
Supaul,43863,592,16463,272.73,37.53,46.07
Vaishali,268901,3630,29580,477.94,11.00,13.17
