District,"APPLICATION
RECEIVED NO.",APPLICATION SANCTIONED NO.,AMOUNT,APPLICATION DISBURSED NO.,AMOUNT,"APPLICATION UNDER
PROCESS NO.","APPLICATION
REJECTED NO."
Araria,1579,265,203.44,189,150.74,51,1262
Arwal,112,44,43.10,41,39.25,12,56
Aurangabad,364,165,156.75,144,138.30,35,164
Banka,1970,495,423.22,455,348.03,129,1345
Begusarai,1058,378,361.94,325,303.75,71,608
Bhagalpur,3294,1039,909.31,901,759.75,177,2069
Bhojpur,711,259,254.99,168,163.94,44,405
Buxar,420,134,130.14,89,85.28,22,258
Darbhanga,1068,440,391.92,371,328.72,45,579
Gaya,1959,772,742.71,690,649.17,111,1074
Gopalganj,669,147,117.78,106,79.95,44,475
Jamui,2211,473,327.08,355,225.32,43,1695
Jehanabad,515,224,209.27,194,181.35,28,263
Kaimur (Bhabua),599,202,186.98,171,157.98,48,347
Katihar,1517,482,358.01,363,278.80,24,1011
Khagaria,765,197,154.40,139,112.40,62,506
Kishanganj,1028,349,307.32,277,251.02,44,634
Lakhisarai,751,293,269.62,231,210.33,27,430
Madhepura,2692,506,316.18,397,245.98,34,2151
Madhubani,2526,748,641.68,519,446.02,138,1639
Munger,216,72,63.05,47,41.35,16,128
Muzaffarpur,4772,1245,1121.85,1015,908.95,179,3344
Nalanda,436,176,155.99,116,89.22,19,241
Nawada,1281,402,372.94,327,294.80,87,788
Pashchim Champaran,1903,395,325.26,271,236.14,95,1412
Patna,2417,844,745.21,729,634.31,120,1448
Purbi Champaran,4192,1228,1041.12,932,752.50,127,2816
Purnia,1713,506,335.72,449,292.67,31,1174
Rohtas,4797,1420,1338.52,1208,1132.52,111,3264
Saharsa,4152,654,491.90,566,421.06,92,3401
Samastipur,3496,822,596.63,563,430.69,173,2495
Saran,3378,1002,913.84,862,772.39,112,2259
Sheikhpura,245,89,79.94,76,66.21,15,141
Sheohar,737,138,121.39,92,79.24,24,573
Sitamarhi,4671,825,613.25,590,468.01,174,3659
Siwan,1102,266,235.06,186,153.24,69,762
Supaul,2135,420,330.52,355,279.06,66,1649
Vaishali,11127,2231,2016.79,1749,1564.01,385,8491
