District,KCC - AH NEW TARGET NO.,AMT,DISBURSED NO.,AMT,% NO.,AMT,KCC - AH RENEW TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT,TOTAL KCC - AH (NEW+RENEW) TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT
Araria,812,29,485,5.52,59.73,19.03,419,17,1184,10.71,282.58,63.00,1231,46,1669,16.23,135.58,35.28
Arwal,588,21,405,1.69,68.88,8.05,223,8,38,0.46,17.04,5.75,811,29,443,2.15,54.62,7.41
Aurangabad,840,30,1605,9.23,191.07,30.77,697,25,110,3.97,15.78,15.88,1537,55,1715,13.20,111.58,24.00
Banka,728,26,418,2.95,57.42,11.35,390,14,648,4.07,166.15,29.07,1118,40,1066,7.02,95.35,17.55
Begusarai,1007,36,445,5.61,44.19,15.58,809,29,963,7.11,119.04,24.52,1816,65,1408,12.72,77.53,19.57
Bhagalpur,1119,40,579,6.22,51.74,15.55,975,35,1274,10.59,130.67,30.26,2094,75,1853,16.81,88.49,22.41
Bhojpur,1034,37,1008,5.66,97.49,15.30,891,32,216,2.10,24.24,6.56,1925,69,1224,7.76,63.58,11.25
Buxar,728,26,718,5.58,98.63,21.46,530,19,192,1.63,36.23,8.58,1258,45,910,7.21,72.34,16.02
Darbhanga,1091,39,254,3.85,23.28,9.87,1060,38,1443,9.37,136.13,24.66,2151,77,1697,13.22,78.89,17.17
Gaya,1314,47,948,5.89,72.15,12.53,1143,41,459,2.96,40.16,7.22,2457,88,1407,8.85,57.26,10.06
Gopalganj,895,32,385,3.58,43.02,11.19,669,24,386,3.65,57.70,15.21,1564,56,771,7.23,49.30,12.91
Jamui,644,23,175,2.09,27.17,9.09,474,17,1141,4.71,240.72,27.71,1118,40,1316,6.80,117.71,17.00
Jehanabad,728,26,114,0.98,15.66,3.77,335,12,313,1.48,93.43,12.33,1063,38,427,2.46,40.17,6.47
Kaimur (Bhabua),672,24,309,3.21,45.98,13.38,362,13,122,2.40,33.70,18.46,1034,37,431,5.61,41.68,15.16
Katihar,896,32,142,2.40,15.85,7.50,503,18,598,3.00,118.89,16.67,1399,50,740,5.40,52.89,10.80
Khagaria,728,26,508,7.43,69.78,28.58,557,20,1910,11.61,342.91,58.05,1285,46,2418,19.04,188.17,41.39
Kishanganj,644,23,168,2.05,26.09,8.91,279,10,496,3.42,177.78,34.20,923,33,664,5.47,71.94,16.58
Lakhisarai,616,22,135,1.92,21.92,8.73,335,12,439,4.84,131.04,40.33,951,34,574,6.76,60.36,19.88
Madhepura,672,24,212,2.65,31.55,11.04,363,13,555,2.98,152.89,22.92,1035,37,767,5.63,74.11,15.22
Madhubani,1035,37,431,3.56,41.64,9.62,1086,39,796,5.01,73.30,12.85,2121,76,1227,8.57,57.85,11.28
Munger,728,26,498,4.32,68.41,16.62,502,18,468,4.44,93.23,24.67,1230,44,966,8.76,78.54,19.91
Muzaffarpur,1483,53,585,9.66,39.45,18.23,1644,59,2317,32.79,140.94,55.58,3127,112,2902,42.45,92.80,37.90
Nalanda,1007,36,1268,8.84,125.92,24.56,1031,37,386,4.94,37.44,13.35,2038,73,1654,13.78,81.16,18.88
Nawada,811,29,535,3.27,65.97,11.28,473,17,113,1.29,23.89,7.59,1284,46,648,4.56,50.47,9.91
Pashchim Champaran,867,31,370,4.49,42.68,14.48,808,29,2156,21.81,266.83,75.21,1675,60,2526,26.30,150.81,43.83
Patna,2100,75,478,4.96,22.76,6.61,3034,109,483,6.02,15.92,5.52,5134,184,961,10.98,18.72,5.97
Purbi Champaran,1147,41,298,4.51,25.98,11.00,1003,36,3757,42.80,374.58,118.89,2150,77,4055,47.31,188.60,61.44
Purnia,952,34,165,1.38,17.33,4.06,725,26,201,1.46,27.72,5.62,1677,60,366,2.84,21.82,4.73
Rohtas,978,35,706,3.96,72.19,11.31,892,32,142,2.24,15.92,7.00,1870,67,848,6.20,45.35,9.25
Saharsa,672,24,116,1.51,17.26,6.29,279,10,668,4.90,239.43,49.00,951,34,784,6.41,82.44,18.85
Samastipur,1119,40,1754,16.24,156.75,40.60,1310,47,1796,17.41,137.10,37.04,2429,87,3550,33.65,146.15,38.68
Saran,1063,38,170,2.45,15.99,6.45,976,35,602,3.57,61.68,10.20,2039,73,772,6.02,37.86,8.25
Sheikhpura,588,21,412,3.72,70.07,17.71,223,8,334,3.54,149.78,44.25,811,29,746,7.26,91.99,25.03
Sheohar,560,20,211,2.36,37.68,11.80,112,4,639,7.84,570.54,196.00,672,24,850,10.20,126.49,42.50
Sitamarhi,811,29,438,5.36,54.01,18.48,558,20,1020,9.24,182.80,46.20,1369,49,1458,14.60,106.50,29.80
Siwan,1147,41,104,1.35,9.07,3.29,920,33,509,4.09,55.33,12.39,2067,74,613,5.44,29.66,7.35
Supaul,700,25,131,2.04,18.71,8.16,363,13,491,2.01,135.26,15.46,1063,38,622,4.05,58.51,10.66
Vaishali,1035,37,398,7.82,38.45,21.14,864,31,818,10.06,94.68,32.45,1899,68,1216,17.88,64.03,26.29
