district,State,Address,Name of Sponsoring Bank,FLC Code,Special Camp No. of Literacy Camps undertaken,No. of Persons participated,Target Group Specific camp No. of Literacy Camps undertaken
Dhalai,Tripura,LDM(Dhalai),PNB,19302,60,4333,90
Gomati,Tripura,TGB Udaipur Branch,TGB,33903,12,598,12
Khowai,Tripura,TGB Khowai Branch,TGB,33701,9,201,9
North Tripura,Tripura,TGB Dharmanagar Branch,TGB,19001,8,272,2
Sepahijala,Tripura,TGB Bishramganj Branch,TGB,33802,10,249,10
South Tripura,Tripura,TGB Santirbazar Branch,TGB,19201,5,43,1
Unakoti,Tripura,LDM(Unakoti ),PNB,35602,51,3012,69
West Tripura,Tripura,LDM(West),PNB,19102,14,1117,30
