District,Eligible Operative Savings Accounts No. of Accounts,"Of which, no. of women accounts",Debit/Rupay Cards coveragee Total No. of Accounts covered,Coverage Pct,Women A/C Covered (of G6),Coverage Pct for women accounts,Internet Banking coveragee Total No. of Accounts covered
Dhalai,561207,279208,172570,6.94,14002,5.01,38950
Gomati,738425,379509,275138,11.79,34058,8.97,87084
Khowai,504439,254545,194237,10.46,24598,9.66,52781
Sepahijala,702905,355797,260502,9.26,26644,7.49,65072
