district,no_of_program_me,no_of_participants_male,no_of_participants_female,no_of_participants_total,out_of_total_participants_sc,out_of_total_participants_st,out_of_total_participants_obc,out_of_total_participants_mc,no_of_trainees_employed_with_owned_fund,no_of_trainees_employed_with_bank_loan,no_of_trainees_employed_wage_employed,no_of_trainees_employed_total,financial_status_of_trainees_apl,financial_status_of_trainees_bpl,financial_status_of_trainees_total
Dhalai,27,37,763,800,102,510,153,2,192,307,0,499,0,800,800
Gomati,31,26,980,1006,146,305,256,22,290,337,0,627,0,1006,1006
Sepahijala,26,41,802,843,258,135,297,101,225,98,0,323,0,843,843
Unakoti,31,179,649,828,182,289,192,32,204,239,0,443,0,828,828
West Tripura,33,74,757,831,201,338,210,9,166,161,0,327,9,822,831
