District,Kharif 2024-25 Loanee Farmers,Non-Loanee Farmers,Rabi 2024-25 Loanee Farmers
Dhalai,1073,0,2236
Gomati,822,130,1632
Khowai,843,62,1637
North Tripura,810,275,1482
Sepahijala,649,647,1814
South Tripura,1538,80,3762
Unakoti,245,36,1286
West Tripura,751,195,1485
