District,Male,Female,Total,SC,ST,Obc,Mc,With owned fund,With bank Loan,Wage Employed,Apl,Bpl
Dhalai,37,763,499,102,510,153,2,192,307,0,0,800
Gomati,26,980,627,146,305,256,22,290,337,0,0,1006
Sepahijala,41,802,323,258,135,297,101,225,98,0,0,843
Unakoti,179,649,443,182,289,192,32,204,239,0,0,828
West Tripura,74,757,327,201,338,210,9,166,161,0,9,822
