district,coverage_percentage_pct_of_eligible_savings_accounts,coverage_percentage_pct_of_eligible_current_accounts,eligible_operative_savings_accounts_no_of_accounts,eligible_operative_savings_accounts_of_which_no_of_women_accounts,debit_rupay_cards_coverage_total_no_of_accounts_covered,debit_rupay_cards_coverage_pct_coverage,debit_rupay_cards_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,debit_rupay_cards_coverage_pct_coverage_for_women_accounts,internet_banking_coverage_total_no_of_accounts_covered,internet_banking_coverage_pct_coverage,internet_banking_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,internet_banking_coverage_pct_coverage_for_women_accounts,mobile_banking_upi_ussd_coverage_total_no_of_accounts_covered,mobile_banking_upi_ussd_coverage_pct_coverage,mobile_banking_upi_ussd_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,mobile_banking_upi_ussd_coverage_pct_coverage_for_women_accounts,aeps_coverage_total_no_of_accounts_covered,aeps_coverage_pct_coverage,aeps_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,aeps_coverage_pct_coverage_for_women_accounts,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_total_no_of_accounts_covered,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_pct_coverage,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_pct_coverage_for_women_accounts,no_of_operative_sb_accounts_ineligible_for_digital_coverage_as_per_bank_s_board_approved_policies_pct_coverage_for_women_accounts,total_no_of_eligible_operative_current_business_accounts,eligible_operative_current_business_accounts_covered_through_net_banking_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_through_net_banking_pct_coverage,eligible_operative_current_business_accounts_covered_with_pos_qr_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_pos_qr_pct_coverage,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_pct_coverage,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facilities_net_banking_pos_qr_mobile_banking_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facilities_net_banking_pos_qr_mobile_banking_pct_coverage,no_of_operative_current_business_accounts_ineligible_for_digital_coverage_as_per_bank_s_board_approved_policies_pct_coverage
Dhalai,100,100,561207,279208,172570,30.75,76059,27.24,38950,6.94,14002,5.01,126333,22.51,62817,22.5,464054,82.69,222643,79.74,561207,100,279208,100,6005,5498,1770,32.19,2814,51.18,2690,48.93,5498,100,356
Gomati,100,100,738425,379509,275138,37.26,133911,35.29,87084,11.79,34058,8.97,247089,33.46,114576,30.19,578203,78.3,288281,75.96,738425,100,379509,100,9319,11436,3797,33.2,4226,36.95,3655,31.96,11436,100,586
Khowai,100,100,504439,254545,194237,38.51,86816,34.11,52781,10.46,24598,9.66,151248,29.98,79634,31.28,376394,74.62,183175,71.96,504439,100,254545,100,4267,5925,2113,35.66,2802,47.29,3240,54.68,5925,100,407
North Tripura,100,100,587574,298860,242943,41.35,121459,40.64,69628,11.85,26619,8.91,173880,29.59,77998,26.1,434234,73.9,209429,70.08,587574,100,298860,100,5865,7878,3513,44.59,4685,59.47,2976,37.78,7878,100,500
Sepahijala,100,100,702905,355797,260502,37.06,125158,35.18,65072,9.26,26644,7.49,245552,34.93,125089,35.16,525509,74.76,246754,69.35,702905,100,355797,100,7903,8823,2588,29.33,3987,45.19,4486,50.84,8823,100,511
South Tripura,100,100,680963,334729,216775,31.83,101395,30.29,57431,8.43,13986,4.18,169289,24.86,80849,24.15,531482,78.05,256559,76.65,680963,100,334729,100,5180,8342,3128,37.5,4010,48.07,4031,48.32,8342,100,727
Unakoti,100,100,426728,214377,164541,38.56,80842,37.71,44108,10.34,18461,8.61,120580,28.26,60676,28.3,321238,75.28,155593,72.58,426728,100,214377,100,2037,6370,2090,32.81,2315,36.34,2846,44.68,6370,100,358
West Tripura,100,100,1770148,868640,943553,53.3,421483,48.52,489290,27.64,131581,15.15,864139,48.82,375726,43.25,1290652,72.91,561970,64.7,1770148,100,868640,100,26481,37705,20041,53.15,13791,36.58,19990,53.02,37705,100,2782
