District,units_in_thousands,loan_disbursement_net_amount_in_crore,amount_in_crore
Adilabad,0.59,78.11,13.14
Hyderabad,42.23,8833.93,962.76
Jagitial,0.01,0.6,0.16
Jogulamba Gadwal,0.01,0.92,0.16
Kamareddy,0.03,4.87,0.71
Karimnagar,2.43,319.91,54.54
Khammam,1.94,343.8,45.94
Mahabubabad,0.03,5.06,0.79
Mahabubnagar,2.9,439.08,68.3
Mancherial,0.01,2.52,0.33
Medak,3.7,659.7,88.41
Medchal Malkajgiri,1.74,359.38,42.61
Nalgonda,3.82,563.76,92.56
Nirmal,0.03,3.01,0.56
Nizamabad,1.23,172.53,28.24
Peddapalli,0.01,0.93,0.16
Ranga Reddy,5.58,1095.67,130.34
Sangareddy,0.09,15.99,2.27
Siddipet,0.02,2.43,0.36
Suryapet,0.06,9.07,1.45
Vikarabad,0.01,0.94,0.18
Wanaparthy,0.14,20.12,3.28
Warangal,0.02,1.83,0.44
Yadadri Bhuvanagiri,0.03,3.33,0.67
