District,total_branch,deposits_rural,deposits_semi_urban,deposits_urban,total_deposit,advances_rural,advances_semi_urban,advances_urban,total_advance,cd_ratio
Adilabad,106.0,1671.33,517.16,2062.2,4250.69,2328.11,1241.02,6817.88,10387.01,244.36
Bhadradri Kothagudem,175.0,1115.56,6681.17,1.68,7798.41,1966.08,6591.25,226.58,8783.91,112.64
Hanumakonda,163.0,843.64,636.61,11478.05,12958.3,1599.36,1587.53,14094.11,17281.0,133.36
Hyderabad,1114.0,7.32,237.16,391831.9,392076.4,155.07,2079.39,505619.5,507853.9,129.53
Jagitial,128.0,1702.19,2175.54,1741.69,5619.42,2722.26,2295.1,2103.46,7120.82,126.72
Jangoan,63.0,699.22,1197.99,3.96,1901.17,1844.0,2602.32,4.44,4450.76,234.11
Jayashankar Bhupalapally,46.0,517.43,1121.5,0.0,1638.93,1052.51,1084.95,5.5,2142.96,130.75
Jogulamba Gadwal,59.0,409.05,1361.55,0.0,1770.6,1415.88,2282.01,41.7,3739.59,211.2
Kamareddy,136.0,1291.81,2542.79,6.94,3841.54,2677.29,4027.19,94.44,6798.92,176.98
Karimnagar,217.0,3613.96,2145.65,6695.09,12454.7,4046.44,2359.72,8516.76,14922.92,119.82
Khammam,250.0,2083.35,1945.27,6048.69,10077.31,4500.3,3815.65,10734.56,19050.51,189.04
Kumuram Bheem Asifabad,56.0,1227.39,667.54,15.65,1910.58,1300.67,449.02,62.46,1812.15,94.85
Mahabubabad,74.0,462.89,1556.56,6.23,2025.68,1394.9,3418.41,58.69,4872.0,240.51
Mahabubnagar,138.0,967.96,817.74,3911.69,5697.39,2068.74,1741.86,5876.47,9687.07,170.03
Mancherial,125.0,2527.27,5370.54,325.97,8223.78,2203.43,4622.43,417.13,7242.99,88.07
Medak,107.0,999.87,1691.57,3.82,2695.26,2149.95,3062.07,581.43,5793.45,214.95
Medchal Malkajgiri,648.0,3459.21,7267.4,102641.9,113368.5,2441.25,7953.14,102797.6,113192.0,99.84
Mulugu,37.0,708.53,320.4,0.0,1028.93,1104.98,507.33,25.45,1637.76,159.17
Nagarkurnool,91.0,1106.41,1511.31,9.58,2627.3,2415.75,3189.78,323.41,5928.94,225.67
Nalgonda,230.0,2124.65,1418.9,5447.27,8990.82,5333.82,3085.0,10756.14,19174.96,213.27
Narayanpet,55.0,543.21,945.2,0.0,1488.41,1276.17,1427.95,34.19,2738.31,183.98
Nirmal,91.0,1501.8,1604.68,77.79,3184.27,2587.15,3300.15,216.01,6103.31,191.67
Nizamabad,282.0,2971.29,2212.89,4815.22,9999.4,6086.11,3967.26,7188.09,17241.46,172.42
Peddapalli,117.0,1945.33,2103.29,2877.79,6926.41,1850.52,2807.5,1946.69,6604.71,95.36
Rajanna Sircilla,74.0,1041.55,2062.29,720.47,3824.31,1771.32,2032.95,702.89,4507.16,117.86
Ranga Reddy,757.0,8990.15,5001.5,67823.3,81814.95,7989.88,6426.69,59767.34,74183.91,90.67
Sangareddy,244.0,5886.45,6139.88,5993.01,18019.34,4943.31,14413.39,6250.79,25607.49,142.11
Siddipet,151.0,1752.82,1736.94,1808.95,5298.71,3119.03,2679.75,2409.17,8207.95,154.9
Suryapet,158.0,1308.82,1792.38,1726.13,4827.33,3325.54,4424.81,4114.22,11864.57,245.78
Vikarabad,106.0,1108.11,1893.25,57.93,3059.29,2092.43,2957.34,158.23,5208.0,170.24
Wanaparthy,60.0,439.39,1501.51,8.55,1949.45,1146.0,2489.78,29.03,3664.81,187.99
Warangal,131.0,700.48,645.27,8956.92,10302.67,2080.69,1865.2,6242.67,10188.56,98.89
Yadadri Bhuvanagiri,110.0,1705.09,2382.11,63.14,4150.34,2487.09,3543.3,165.54,6195.93,149.29
