District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Adilabad,10.0,0.0,0.0,1396.22,8.49,17.69,605.0,34.57,37.91,374.34,0.0,0.0,112.0,0.0,0.0,125.97,62.67,0.0,2354.07,209.56,2563.63,199.32,486.61,3249.56,800.1,3223.28,76.42,0.0,48.0,91.19,20.33,8.77,0.0,4217.95
Bhadradri Kothagudem,9.0,0.0,0.0,607.59,7.45,3.67,1234.0,12.26,2.29,194.18,0.07,0.26,201.0,1.07,4.55,104.0,90.51,0.0,2710.98,736.99,3447.97,132.67,728.9,4309.54,426.55,2412.59,43.66,0.0,202.8,536.22,26.69,23.51,0.0,5525.31
Hanumakonda,112.0,0.0,0.0,2515.43,31.26,41.33,3875.0,34.89,8.65,720.53,0.35,0.36,38.0,1.71,103.64,99.28,64.79,0.0,1432.73,400.4,1833.13,113.5,551.65,2498.28,1369.6,4227.56,95.12,0.0,75.63,403.2,96.2,1.65,0.0,4444.56
Hyderabad,684.0,256.87,65.9,63065.75,108.16,8.98,13003.0,1023.76,35.85,9103.14,140.56,33.63,27.0,46.29,175.94,632.89,465.06,80.41,0.0,0.0,0.0,0.0,0.0,0.0,23972.55,60283.23,204.73,390.01,1203.87,2855.68,418.02,26.31,578.38,29444.82
Jagitial,71.0,0.0,0.0,517.45,15.1,44.32,1276.0,37.04,37.93,359.83,0.2,0.86,391.0,18.5,247.66,106.27,61.65,0.0,2117.96,606.43,2724.39,139.77,834.75,3698.91,1086.7,2892.11,58.45,0.0,34.07,97.65,23.14,7.47,0.0,4947.94
Jangoan,22.0,0.0,0.0,212.2,12.15,51.95,1306.0,15.04,24.13,174.18,0.2,2.58,0.0,0.0,0.0,47.68,37.76,0.0,1592.6,531.7,2124.3,116.33,410.75,2651.38,297.09,1783.37,58.61,0.0,23.39,62.32,7.76,0.97,0.0,3042.91
Jayashankar Bhupalapally,,0.0,0.0,,11.16,77.61,,2.35,8.36,,0.0,0.0,,1.19,154.55,,15.99,0.0,1010.25,500.57,1510.82,80.07,19.74,1610.63,84.04,834.72,47.81,0.0,14.38,28.11,8.04,0.77,0.0,1745.97
Jogulamba Gadwal,6.0,0.0,0.0,268.76,5.28,35.89,535.0,8.34,7.41,101.89,0.0,0.0,0.0,0.0,0.0,11.14,11.48,0.0,2647.79,429.98,3077.77,96.0,356.81,3530.58,474.49,1787.17,42.98,0.0,14.71,112.6,19.03,7.19,0.0,4158.6
Kamareddy,82.0,0.0,0.0,477.75,5.93,17.71,753.0,28.16,20.69,344.28,0.0,0.0,1.0,0.0,0.0,79.07,31.07,0.0,3165.63,646.44,3812.07,105.38,388.86,4306.31,593.4,2556.83,50.22,0.0,33.49,136.12,18.27,3.39,0.0,5090.98
Karimnagar,46.0,0.0,0.0,2316.87,14.17,35.0,1640.0,225.18,128.0,774.68,3.1,17.69,551.0,11.54,119.09,272.67,156.61,0.0,2301.55,517.39,2818.94,94.98,664.51,3578.43,1063.45,5490.24,112.38,0.0,40.49,175.94,17.52,9.69,0.0,4885.52
Khammam,65.0,0.0,0.0,1908.86,28.67,12.12,3169.0,38.97,8.39,843.93,3.49,11.09,334.0,11.6,63.11,202.46,147.12,0.0,3292.28,699.51,3991.79,177.76,797.1,4966.65,520.65,6134.98,98.35,0.0,236.62,464.38,31.47,18.38,0.0,6238.15
Kumuram Bheem Asifabad,15.0,0.0,0.0,144.05,0.48,1.36,118.0,1.59,2.24,38.26,0.0,0.0,51.0,0.0,0.0,33.48,15.79,0.0,1519.37,224.57,1743.94,133.4,246.96,2124.3,265.59,932.99,37.07,0.0,35.21,70.85,15.18,5.92,0.0,2517.05
Mahabubabad,27.0,0.0,0.0,285.03,11.11,88.24,1224.0,8.94,37.3,140.2,0.0,0.0,5.0,0.28,28.28,65.45,56.51,0.0,1688.76,429.63,2118.39,113.07,395.91,2627.37,282.36,2159.72,73.05,0.0,12.59,23.97,9.29,0.99,0.0,2956.57
Mahabubnagar,29.0,0.0,0.0,1194.98,13.14,59.81,1358.0,46.31,28.67,548.0,0.2,0.77,0.0,0.0,0.0,29.91,25.87,0.0,3162.41,601.63,3764.04,84.51,484.92,4333.47,584.61,3012.55,58.57,0.0,21.97,161.51,26.08,15.54,0.0,5143.18
