District,q3_fy_2023_24_no,approved_amt,cumulative_as_on_no
Adilabad,517.0,59.33,6963.0
Bhadradri Kothagudem,365.0,15.77,2338.0
Hyderabad,3023.0,872.36,78626.0
Jagitial,207.0,19.06,996.0
Jangoan,28.0,1.33,702.0
Jayashankar Bhupalapally,53.0,4.19,724.0
Jogulamba Gadwal,107.0,6.31,1079.0
Kamareddy,149.0,19.86,1679.0
Karimnagar,450.0,40.38,10541.0
Khammam,386.0,32.25,10880.0
Mahabubabad,88.0,8.84,785.0
Mahabubnagar,512.0,35.15,13700.0
Mancherial,168.0,10.27,883.0
Medak,160.0,33.3,7778.0
Medchal Malkajgiri,444.0,98.31,2900.0
Nagarkurnool,95.0,5.3,539.0
Nalgonda,440.0,48.1,15440.0
Nirmal,141.0,9.03,1318.0
Nizamabad,297.0,39.39,9030.0
Peddapalli,106.0,11.56,1027.0
Rajanna Sircilla,114.0,6.38,790.0
Ranga Reddy,912.0,181.58,31192.0
Sangareddy,285.0,47.31,2283.0
Siddipet,198.0,28.43,1502.0
Suryapet,247.0,20.55,2082.0
Vikarabad,154.0,8.82,1019.0
Wanaparthy,64.0,9.22,361.0
Warangal,307.0,38.05,11762.0
Yadadri Bhuvanagiri,92.0,10.67,1289.0
