District,branch_rural,branch_semi_urban,branch_urban,total_branch
Adilabad,53.0,17.0,36.0,106.0
Bhadradri Kothagudem,67.0,108.0,0.0,175.0
Hanumakonda,36.0,20.0,107.0,163.0
Hyderabad,3.0,3.0,1108.0,1114.0
Jagitial,66.0,37.0,25.0,128.0
Jangoan,31.0,31.0,1.0,63.0
Jayashankar Bhupalapally,24.0,22.0,0.0,46.0
Jogulamba Gadwal,22.0,37.0,0.0,59.0
Kamareddy,74.0,61.0,1.0,136.0
Karimnagar,91.0,40.0,86.0,217.0
Khammam,97.0,63.0,90.0,250.0
Kumuram Bheem Asifabad,41.0,14.0,1.0,56.0
Mahabubabad,25.0,48.0,1.0,74.0
Mahabubnagar,50.0,26.0,62.0,138.0
Mancherial,48.0,69.0,8.0,125.0
Medak,59.0,46.0,2.0,107.0
Medchal Malkajgiri,43.0,107.0,498.0,648.0
Mulugu,26.0,10.0,1.0,37.0
Nagarkurnool,48.0,42.0,1.0,91.0
Nalgonda,94.0,45.0,91.0,230.0
Narayanpet,27.0,28.0,0.0,55.0
Nirmal,54.0,32.0,5.0,91.0
Nizamabad,144.0,57.0,81.0,282.0
Peddapalli,42.0,47.0,28.0,117.0
Rajanna Sircilla,39.0,29.0,6.0,74.0
Ranga Reddy,150.0,105.0,502.0,757.0
Sangareddy,87.0,120.0,37.0,244.0
Siddipet,71.0,49.0,31.0,151.0
Suryapet,63.0,54.0,41.0,158.0
Vikarabad,56.0,46.0,4.0,106.0
Wanaparthy,23.0,36.0,1.0,60.0
Warangal,41.0,21.0,69.0,131.0
Yadadri Bhuvanagiri,55.0,52.0,3.0,110.0
