District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Adilabad,120472.0,7.38,13.65,135.05,21.1,47.64,231.0,484.68,535.03,1874.64,652.4,400.12,92332.0,1449.37,768.53,5291.43,2614.93,483.74,54.05,44.29,90.59,163.05,188.59,540.57
Bhadradri Kothagudem,281476.0,6.78,65.0,373.5,12.09,160.6,219.0,151.05,1203.6,842.69,542.91,2338.1,104546.0,1050.52,5257.86,4669.67,1763.35,2392.3,10.43,7.53,12.55,23.22,19.98,73.71
Hanumakonda,201515.0,379.61,1211.0,222.29,42.77,90.14,942.0,548.63,777.1,3835.17,664.74,663.15,173247.0,2214.8,1672.68,9975.11,3850.55,1007.9,31.34,47.45,70.6,100.24,132.41,382.04
Hyderabad,187687.0,3222.15,0.0,640.83,551.46,42.73,7962.0,10249.12,264.69,52671.16,9353.29,120.77,2658537.0,204859.41,1511.26,419950.75,228235.43,862.47,0.0,1290.6,3872.12,7744.91,13555.5,26463.2
Jagitial,227698.0,5.68,28.59,308.83,18.28,129.3,298.0,121.44,361.43,640.29,353.65,447.94,88306.0,1321.4,2507.88,2420.42,1820.45,913.65,19.87,14.14,33.6,78.95,52.69,199.25
Jangoan,166524.0,5.25,87.35,151.93,4.48,87.5,110.0,88.62,842.4,435.61,149.2,806.92,27221.0,228.59,1154.49,1379.47,476.14,794.36,6.01,5.12,10.52,18.49,19.8,59.94
Jayashankar Bhupalapally,,0.67,3.33,,2.48,8.15,,38.63,84.83,,95.09,146.18,,163.79,194.06,,300.66,122.43,20.15,30.44,45.54,65.05,84.4,245.58
Jogulamba Gadwal,154410.0,4.02,7.61,148.45,2.87,4.11,64.0,58.69,59.87,329.22,102.82,75.24,24854.0,221.88,139.15,1153.28,390.28,75.52,52.8,69.89,98.03,136.65,159.45,516.82
Kamareddy,283673.0,7.45,16.77,296.5,6.7,10.69,161.0,130.73,144.06,724.06,254.19,203.11,38670.0,330.27,212.36,2055.18,729.34,152.43,44.42,62.65,90.75,125.15,155.52,478.49
Karimnagar,238556.0,55.14,26.56,223.58,41.19,14.43,790.0,387.54,82.97,2037.72,682.78,101.21,155770.0,1323.19,137.81,6505.17,2489.84,95.95,207.63,285.5,467.06,674.65,960.13,2594.97
Khammam,548812.0,24.62,123.4,726.84,65.28,273.9,1333.0,518.66,1615.3,3781.36,487.82,958.77,145309.0,1551.72,2294.09,8634.05,2648.1,1362.1,19.96,23.83,32.11,50.88,67.64,194.42
