District,cd_ratio
Chittoor,77.34
East Godavari,127.76
Guntur,131.02
Krishna,143.7
Kurnool,118.94
Prakasam,141.71
Spsr Nellore,128.38
Srikakulam,90.26
Visakhapatanam,180.45
Vizianagaram,85.38
West Godavari,142.04
Y.s.r.,94.25
