district,social_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,renewable_energy_target_no,amt,achv_no,amt,achv_pct_amt,others_target_no,amt,achv_no,amt,total_priority_sector_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,72,472,1.00,0,0.04,68,363,1,0.25,0.07,30108,14210,15579.00,8645,132820,284175,67502.00,255828,90.02
Chatra,,,,,,,,,,,6397,2992,2296.00,1287,83758,64751,30081.00,41518,64.12
Deoghar,36,108,7.00,14,13.28,68,682,1,1.00,0.15,53739,32241,10170.00,5138,158289,225038,70666.00,157923,70.18
Dhanbad,72,536,6.00,39,7.20,,,,,,46543,27516,28523.00,16134,153568,461098,100196.00,423070,91.75
Dumka,36,26,1.00,1,2.88,683,836,17,23.08,2.76,17917,10265,7656.00,3953,97179,119654,48793.00,78564,65.66
East Singhbhum,84,764,7.00,49,6.45,,,,,,55612,31253,29054.00,16579,206909,717203,113786.00,713140,99.43
Garhwa,12,6,5.00,5,81.33,,,,,,16856,8990,5806.00,2991,86623,98638,47040.00,55205,55.97
Giridih,72,630,,,0.00,,,,,,26642,14562,15686.00,8739,158668,179305,80518.00,155237,86.58
Godda,,,1.00,1,,136,190,,,0.00,21015,9797,4599.00,2654,97040,103941,39273.00,58284,56.07
Gumla,,,1.00,0,,,,1,10.00,,5110,2365,2999.00,1664,57801,57325,20114.00,36656,63.94
Hazaribagh,36,30,23.00,17,55.90,,,,,,27149,13638,9835.00,6171,159852,221968,72503.00,176743,79.63
Jamtara,,,,,,,,,,,5409,2851,1741.00,667,52086,50355,23587.00,27303,54.22
Khunti,96,216,1.00,2,0.69,,,,,,2935,1653,2543.00,1177,35117,36944,18899.00,25351,68.62
Koderma,12,64,1.00,0,0.63,,,,,,9090,4588,5090.00,2884,75412,82892,34419.00,67733,81.71
Latehar,,,,,,,,,,,8127,3500,3655.00,1640,38297,43249,20978.00,29673,68.61
Lohardaga,,,,,,,,,,,7132,3061,3469.00,1808,51421,41606,17393.00,31513,75.74
Pakur,12,8,2.00,2,18.75,,,,,,14643,6314,11365.00,6123,53496,64004,34082.00,46309,72.35
Palamu,84,270,3.00,12,4.56,,,,,,44547,22721,12678.00,7908,145998,166374,73314.00,99973,60.09
Ramgarh,60,426,3.00,29,6.87,68,411,1,6.00,1.46,11369,6186,7148.00,4380,63184,118987,37322.00,107118,90.02
Ranchi,178,1362,1639.00,246,18.10,136,467,1,1.00,0.21,40017,27745,24586.00,18555,1223609,1246781,646126.00,1089924,87.42
Sahibganj,12,8,,,0.00,1640,2051,23,32.00,1.56,12362,6570,8240.00,4824,69449,80114,35693.00,41878,52.27
Seraikela-Kharsawan,12,2,,,0.00,,,,,,10888,6295,5957.00,4794,188533,200673,91892.00,182432,90.91
Simdega,,,,,,,,,,,5824,2561,2120.00,905,39922,30184,12858.00,18861,62.49
West Singhbhum,12,72,2.00,1,1.11,,,,,,20341,10126,9628.00,4853,107748,103242,43169.00,66561,64.47
