district,as_on_31st_december_2023_farm_credit_no,amt,out_of_farm_credit_total_crop_loans_no,amt,out_of_farm_credit_total_investment_credit_no,amt,out_of_farm_credit_total_allied_activities_no,amt,agri_infrastructure_no,amt,ancillary_activities_no,amt,total_agri_no,amt,pct_of_agri_adv_to_total_advance
Bokaro,79635,54893.22,53411,32094.32,26224,22798.90,18243,14893.78,51,161.89,7636,17729.45,87322,72784.57,8.50
Chatra,70206,40984.70,55476,30490.88,14730,10493.82,8765,7552.19,37,23.02,5251,9857.61,75494,50865.32,37.90
Deoghar,113068,64967.38,87542,46712.55,25526,18254.83,16780,12729.09,58,239.90,1933,10821.52,115059,76028.79,20.54
Dhanbad,91769,61184.23,44465,27074.63,47304,34109.59,27177,17611.67,119,1088.81,6260,22571.71,98148,84844.75,6.03
Dumka,93146,51041.18,68099,30994.68,25047,20046.50,17242,15380.04,55,37.15,1286,2280.48,94487,53358.81,26.19
East Singhbhum,112202,79853.93,78389,45558.35,33813,34295.57,21076,20681.49,60,315.66,9860,34479.02,122122,114648.61,5.53
Garhwa,101349,76315.86,59128,51352.75,42221,24963.12,23829,21375.15,273,77.30,748,1425.38,102370,77818.54,48.87
Giridih,133427,78567.62,84108,44435.56,49319,34132.06,34698,23222.96,83,503.42,7555,16660.14,141065,95731.19,22.36
Godda,87354,55153.20,60108,37615.55,27246,17537.65,19003,12567.30,14,4.59,2005,4448.52,89373,59606.31,32.09
Gumla,61074,34899.06,53526,26130.64,7548,8768.42,4018,5751.20,1,0.32,3973,8387.30,65048,43286.68,35.60
Hazaribagh,129978,84848.98,77411,50654.15,52567,34194.83,33435,22591.91,27,171.23,6993,27773.67,136998,112793.88,19.55
Jamtara,54032,32390.13,49303,27737.18,4729,4652.95,3251,3577.38,24,11.67,1727,2945.86,55783,35347.66,37.97
Khunti,35968,20992.12,27459,14034.83,8509,6957.29,6428,5639.56,3,1.70,1958,4487.38,37929,25481.19,26.47
Koderma,53342,29980.25,30616,16943.18,22726,13037.07,9685,6298.31,28,167.26,4666,11864.52,58036,42012.03,23.34
Latehar,38295,32079.03,30947,22595.39,7348,9483.64,5366,8502.21,87,25.66,1320,2750.12,39702,34854.81,32.63
Lohardaga,38766,23432.94,33599,18643.43,5167,4789.51,2666,2905.56,11,14.87,3028,8020.09,41805,31467.90,32.88
Pakur,44455,33269.48,30278,20854.98,14177,12414.50,13814,12528.26,102,123.24,2541,4429.97,47098,37822.70,29.34
Palamu,146265,108099.93,84479,67902.62,61786,40197.31,40567,30981.24,359,149.38,2595,4773.17,149219,113022.47,34.13
Ramgarh,47470,29871.28,26800,16916.32,20670,12954.96,13968,9124.70,22,35.24,4277,9391.84,51769,39298.36,10.29
Ranchi,1095526,344959.65,95125,63235.78,1000401,281723.86,183526,74749.48,193,7725.96,8822,120405.72,1104541,473091.33,12.25
Sahibganj,60304,44451.43,41094,29524.87,19210,14926.57,15194,12258.79,23,50.08,1756,2019.83,62083,46521.35,33.11
Seraikela-Kharsawan,155105,67002.98,57654,33255.65,97451,33747.33,24624,11598.55,18,612.32,4005,11742.35,159128,79357.66,18.88
Simdega,29008,16094.37,22478,9796.03,6530,6298.33,3465,4344.78,26,23.55,2695,4730.77,31729,20848.69,35.09
West Singhbhum,84061,62036.75,70728,44160.79,13333,17875.96,6132,11453.12,145,282.97,3164,6495.34,87370,68815.05,18.04
