district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastria_no,amt,jains_no,amt,total_no,amt
Bokaro,1683,3356.85,20394,27772.03,1009,808.91,353,1441.76,2,0.50,159,631.96,23600,34012.02
Chatra,2086,2215.42,6901,6239.02,4,6.13,63,147.36,3,17.69,22,116.09,9079,8741.70
Deoghar,4644,3771.66,21290,15054.94,117,166.11,315,294.32,6,22.66,17,49.46,26389,19359.15
Dhanbad,1629,3947.56,50964,56135.79,1322,619.73,821,6151.39,,,67,383.67,54803,67238.15
Dumka,5239,5702.35,10774,8250.41,43,69.07,50,70.03,5,20.37,8,3.96,16119,14116.20
East Singhbhum,4213,9758.49,25765,48354.93,1359,1276.90,3638,18797.74,25,45.07,123,751.91,35123,78985.05
Garhwa,5315,5785.61,12175,7348.57,22,9.79,28,42.64,,,21,8.67,17561,13195.29
Giridih,2911,2799.70,37486,29727.85,71,118.96,126,1505.46,2,0.71,99,288.83,40695,34441.51
Godda,3541,3433.79,14908,13674.76,48,36.11,85,52.47,,,13,6.68,18595,17203.81
Gumla,7137,7274.95,6912,5234.27,5,6.52,70,85.10,1,0.20,4,27.92,14129,12628.96
Hazaribagh,2860,4920.35,28478,32982.84,330,341.41,232,1362.49,16,6.62,150,554.06,32066,40167.76
Jamtara,2994,2274.50,10910,7007.62,8,2.52,22,78.40,,,9,19.35,13943,9382.38
Khunti,5029,5477.86,2285,2448.53,73,46.52,75,156.10,4,7.75,19,102.40,7485,8239.17
Koderma,499,931.53,11004,8873.29,7,13.16,108,829.30,1,0.44,40,194.00,11659,10841.73
Latehar,2845,4395.57,5604,4688.86,18,21.67,18,34.22,,,20,45.86,8505,9186.18
Lohardaga,1564,2450.57,13440,10040.28,5,12.28,19,13.88,1,8.40,19,12.98,15048,12538.39
Pakur,2561,2772.61,33198,24631.42,5,5.22,77,230.93,2,4.07,8,5.05,35851,27649.30
Palamu,7934,8814.30,17391,12791.93,13,19.66,66,323.83,4,2.83,42,126.34,25450,22078.90
Ramgarh,987,2417.60,12466,16120.33,117,148.72,544,2130.57,,,50,356.96,14164,21174.18
Ranchi,27039,53971.63,358021,155966.56,1287,1596.27,1081,7920.09,7,28.37,294,3013.50,387729,222496.43
Sahibganj,3329,3533.69,18974,15807.67,70,223.87,97,79.27,1,0.55,17,15.03,22488,19660.08
Seraikela-Kharsawan,2576,2713.58,22549,9336.72,108,205.27,177,636.27,3,121.06,18,14.94,25431,13027.85
Simdega,10348,9717.35,2186,1952.98,4,1.13,28,31.45,1,0.59,14,40.03,12581,11743.53
West Singhbhum,6090,6392.84,8071,9024.54,219,462.71,551,2166.82,15,36.64,75,131.68,15021,18215.22
