district,as_on_31st_december_2023_loans_to_small_and_marginal_farmers_no,amt,loans_to_sc_st_no,amt,loans_to_shgs_no,amt,loans_to_minority_communities_no,amt,od_under_pmjdy_no,amt,beneficiaries_of_dri_scheme_no,amt,loans_upto_₹_1_lakh_to_women_beneficiaries_no,amt,other_loans_to_weaker_sections_no,amt,total_advances_to_weaker_sections_no,amt,pct_of_loans_to_weaker_sections_to_total_advance_amt
Bokaro,72143,47667.04,15622,12384.58,10246,18569.62,10982,14464.44,2405,5.37,415,34.62,59975,20911.89,5293,5508.12,126684,86911.67,10.16
Chatra,66324,42901.84,15764,10538.13,7918,12903.05,7037,5289.34,409,5.57,15,8.02,20687,8746.96,697,1072.70,78859,52590.21,39.19
Deoghar,103346,56989.64,24570,16905.92,7890,11736.06,15538,10591.83,780,6.73,48,11.33,38093,14544.79,2848,2237.72,134558,74395.80,20.10
Dhanbad,77203,46464.45,19752,14103.05,7600,13178.32,28201,29258.64,4292,12.31,455,33.30,73647,29201.83,7236,10225.29,172721,113033.38,8.03
Dumka,86697,44780.44,27972,21034.35,8657,13931.47,11609,8438.11,861,1.71,34,3.50,46237,18696.83,1845,2363.62,111119,59840.14,29.37
East Singhbhum,102779,67982.44,48502,31417.03,10551,20730.34,18032,35673.09,1856,11.34,815,68.07,99610,41525.18,6698,13921.47,194920,158230.64,7.64
Garhwa,95030,70673.75,35952,27154.95,10027,16430.88,12573,8656.63,205,0.30,59,4.85,48094,22736.17,620,649.27,111409,80680.11,50.67
Giridih,124616,74104.95,26065,15750.05,14311,25170.15,22631,17096.41,822,2.84,121,29.53,83747,31321.99,2472,2570.15,177208,107451.90,25.10
Godda,78092,49562.06,23704,18281.71,6945,12603.25,11588,8966.75,814,1.63,58,5.69,40471,16932.98,1745,2867.62,101584,65208.45,35.10
Gumla,58389,33576.49,25495,14505.69,5619,9626.54,10628,6844.78,238,3.05,65,4.30,13404,6142.10,786,832.05,69068,44863.14,36.90
Hazaribagh,117553,79918.60,25130,19019.07,12577,23052.40,20191,21930.85,1855,8.45,122,14.89,58535,27426.65,4440,5152.42,161558,116713.73,20.23
Jamtara,52054,32028.03,16544,10816.27,4638,6627.41,9756,5473.96,693,2.28,43,3.59,11507,5844.05,589,549.30,59058,36801.87,39.54
Khunti,35402,21447.29,18487,10732.73,3690,8024.65,4330,3142.83,746,0.80,27,12.38,14401,5560.95,3608,1719.10,43520,28312.00,29.41
Koderma,49138,29661.40,9376,5850.90,4848,9256.52,8304,6688.03,500,7.49,14,1.82,27729,10183.22,899,1465.62,71021,46385.01,25.77
Latehar,36937,30018.02,14917,12703.72,5973,11572.99,5913,4247.82,259,3.84,12,1.49,13042,6098.42,488,954.46,46170,37591.52,35.20
Lohardaga,37951,24363.05,15120,8930.54,3728,7200.66,9518,6101.14,299,0.54,63,9.68,13091,4932.00,577,820.81,48734,35976.35,37.59
Pakur,41342,29866.36,16635,13018.07,5610,10334.26,13505,14159.31,355,1.36,15,6.03,46039,16855.56,2262,4573.69,69487,47817.72,37.09
Palamu,137241,104845.76,55938,42969.58,13563,21963.92,17020,12832.90,182,1.08,35,3.58,79906,38312.46,1906,3515.04,175644,122894.97,37.11
Ramgarh,40536,25768.72,12763,8721.02,5195,10031.72,6447,7333.45,1961,7.96,175,41.38,39725,14482.15,2641,2233.64,70924,49651.06,13.00
Ranchi,1068240,334102.08,440684,143665.05,15555,35170.62,354945,128311.56,9496,21.74,654,51.58,94532,48045.02,10691,20241.11,1243592,456727.50,11.83
Sahibganj,54939,40121.43,23655,18961.90,7208,11610.56,10687,10594.80,620,1.68,42,3.00,45801,19696.83,1604,2097.48,82937,56128.98,39.95
Seraikela-Kharsawan,149499,62229.56,66803,27007.30,6687,13652.48,24107,9461.87,2700,3.45,332,28.20,29608,16944.34,702,1364.83,189487,84150.61,20.02
Simdega,27608,16182.38,14372,8553.39,4663,7056.24,8978,5375.10,894,0.81,40,3.55,10371,4057.11,396,461.97,35662,23501.58,39.56
West Singhbhum,76630,51142.82,47375,34810.03,9629,23275.05,11922,12273.22,5720,9.06,509,38.51,36402,16376.66,524,1968.04,107111,82860.20,21.72
