district,sponsering_bank,target_fy_2023_24_number_of_training_programmes_to_be_conducted,number_of_trainees_to_be_trained,performance_during_the_financial_year_2023_24_up_to_the_end_of_december_2023_num,pct_of_achievement_to_target_for_no_of_training_programmes_conducted,number_of_trainees_trained,pct_of_achievement_to_target_for_no_of_trainees_trained,col_9
Bokaro,BANK OF INDIA,28,810,19,67.86,538,66.42,
Chatra,BANK OF INDIA,32,800,19,59.38,596,74.50,
Deoghar,STATE BANK OF INDIA,33,825,20,60.61,625,75.76,
Dhanbad,BANK OF INDIA,30,810,18,60.00,562,69.38,
Dumka,INDIAN BANK,32,800,21,65.63,629,78.63,
Garhwa,STATE BANK OF INDIA,27,800,21,77.78,630,78.75,
Giridih,BANK OF INDIA,33,825,20,60.61,555,67.27,
Godda,INDIAN BANK,30,750,,0.00,548,73.07,
Gumla,BANK OF INDIA,33,825,19,57.58,525,63.64,
Hazaribagh,INDIAN BANK,32,800,19,59.38,519,64.88,
Jamtara,STATE BANK OF INDIA,25,750,21,84.00,565,75.33,
Khunti,BANK OF INDIA,30,800,17,56.67,488,61.00,
Koderma,BANK OF INDIA,29,790,20,68.97,579,73.29,
Latehar,STATE BANK OF INDIA,30,750,20,66.67,575,76.67,
Lohardaga,BANK OF INDIA,30,825,19,63.33,478,57.94,
Pakur,STATE BANK OF INDIA,30,750,19,63.33,529,70.53,
Palamu,STATE BANK OF INDIA,32,800,22,68.75,626,78.25,
Ramgarh,BANK OF INDIA,25,630,16,64.00,487,77.30,
Ranchi,RUDSETICANARA BANK,33,825,22,66.67,554,67.15,
Sahibganj,STATE BANK OF INDIA,30,750,22,73.33,570,76.00,
Simdega,BANK OF INDIA,33,825,24,72.73,587,71.15,
