district,outstanding_31122023_scheduled_caste_no,amt,scheduled_tribes_no,amt,disbursed_form_01042023_to_31122023_scheduled_caste_no,amt,scheduled_tribes_no,amt
Bokaro,16877,27854.26,11087,17892.81,4653,8008.72,2520,4709.04
Chatra,11788,10603.27,6463,6582.38,2962,3509.12,1595,2256.29
Deoghar,18091,16338.17,15120,12743.16,4849,6239.25,4340,4545.76
Dhanbad,26988,61308.77,13159,18582.39,5408,18869.50,2925,6270.09
Dumka,14506,13416.71,23477,27621.20,4145,5914.56,5948,9255.59
East Singhbhum,20461,24300.12,46631,55575.28,5576,8668.24,10786,16210.34
Garhwa,23238,18554.53,16754,15741.54,6738,7024.40,3572,4832.56
Giridih,20206,16557.63,12675,10973.81,6430,7134.19,2810,3997.18
Godda,11935,12140.26,18265,22959.70,2994,4204.37,4835,6500.28
Gumla,6488,5744.06,29476,27611.47,1016,1884.89,4274,7066.98
Hazaribagh,25078,24648.36,10705,15285.72,5686,9262.57,3457,6668.62
Jamtara,7637,7217.10,13618,12243.33,1476,2232.96,2955,3459.61
Khunti,4787,5082.79,20671,21455.27,1657,1817.27,4279,5293.88
Koderma,8653,7319.32,2370,2618.15,1889,2388.08,593,837.46
Latehar,8004,9845.14,11486,14474.62,2217,3770.41,2697,4073.09
Lohardaga,3595,3756.00,16529,16934.85,959,1098.28,3175,4530.65
Pakur,5295,5717.17,14412,14297.20,1658,2345.08,4052,4090.61
Palamu,38933,33613.54,24363,25374.97,10891,12104.25,5368,7640.86
Ramgarh,9164,16020.58,11947,21494.61,2817,5433.85,2682,6213.98
Ranchi,268668,107047.53,214372,169999.15,133413,65949.16,92378,62806.70
Sahibganj,7069,7902.51,20161,19520.25,2230,3870.82,5852,6868.47
Seraikela-Kharsawan,26378,13171.61,47326,31493.59,12753,7445.89,19415,12552.74
Simdega,4166,3276.63,14458,12586.09,928,976.97,2832,3143.97
West Singhbhum,11578,12803.48,49481,54018.40,2989,4616.70,11091,14201.13
