district,notices_issued_u_s_13_2_of_sarfaesi_act_no_of_a_cs,amount_in_lacs,out_of_which_symbolic_possession_taken_u_s_13_4_no_of_a_cs,amount_in_lacs,request_sent_to_dc_dm_cmm_for_assistance_in_physical_possession_no_of_a_cs,out_of_that_physical_possession_taken_no_of_a_cs,cases_pending_at_the_end_of_the_quarter_no_of_a_cs,col_9
Bokaro,1016,5813.16,49,1929.94,25,0,30,
Chatra,15,293.15,13,280.72,12,0,12,
Deoghar,30,1204.30,9,1021.25,7,0,7,
Dhanbad,442,7320.03,124,3920.74,75,6,75,
Dumka,15,107.98,3,62.66,1,0,1,
East Singhbhum,442,64821.05,358,101842.26,217,74,161,
Garhwa,14,183.51,9,116.56,3,1,2,
Giridih,751,2757.85,27,514.22,15,0,17,
Godda,7,27.58,0,0.00,0,0,0,
Gumla,12,118.57,7,60.43,2,0,2,
Hazaribagh,113,2240.18,89,2013.63,79,0,81,
Jamtara,22,100.99,0,0.00,0,0,0,
Khunti,0,0.00,0,0.00,0,0,0,
Koderma,39,650.48,29,544.36,27,0,27,
Latehar,6,41.24,2,4.77,1,0,1,
Lohardaga,25,718.76,18,594.43,4,0,6,
Pakur,15,147.24,5,84.32,4,0,4,
Palamu,38,135.10,9,64.45,6,3,3,
Ramgarh,38,908.12,30,731.24,22,2,23,
Ranchi,451,24098.02,383,21544.49,197,49,155,
Sahibganj,12,108.55,7,91.72,2,0,2,
Seraikela-Kharsawan,40,1040.68,29,820.94,22,3,19,
Simdega,15,85.63,11,52.61,4,0,4,
West Singhbhum,25,274.89,12,99.48,6,0,6,
