district,total_npa_under_priorty_sector_sector_wise_agriculture_no,amt,housing_no,amt,education_no,amt,msme_no,amt,other_psl_no,amt,total_psl_npa_no,amt
Bokaro,17351,8123.66,71,666.22,231,645.03,10403,32936.27,4747,756.13,32803,43127.32
Chatra,20655,10216.53,11,68.85,78,182.76,2862,5652.55,211,37.45,23817,16158.14
Deoghar,24561,10473.40,56,113.17,137,344.32,5452,8004.04,953,183.31,31159,19118.24
Dhanbad,20966,11488.97,173,1059.61,440,1112.36,11950,26421.77,6372,842.35,39901,40925.06
Dumka,21031,8071.03,11,38.49,40,95.67,4890,4754.38,1067,171.99,27039,13131.57
East Singhbhum,20953,11862.42,276,2053.01,492,1131.90,13798,56329.08,3031,495.75,38550,71872.15
Garhwa,15009,8132.98,6,49.34,58,171.94,2306,1980.36,435,108.65,17814,10443.28
Giridih,30066,13117.01,27,114.34,253,628.08,8018,13262.78,1994,317.54,40358,27439.75
Godda,16157,7672.58,7,49.35,50,123.21,3756,4234.88,504,127.28,20474,12207.29
Gumla,25557,10855.86,23,109.62,75,178.15,2792,3855.40,147,27.00,28594,15026.04
Hazaribagh,32717,20727.33,178,979.48,239,677.62,7766,18242.56,1559,260.27,42459,40887.26
Jamtara,10734,4049.99,8,50.15,24,64.35,1861,1842.75,49,3.82,12676,6011.06
Khunti,8921,4184.35,5,24.22,25,67.45,1587,2163.21,181,23.93,10719,6463.16
Koderma,15811,8475.67,53,197.93,80,199.69,3513,8092.14,1128,71.53,20585,17036.95
Latehar,7060,3447.54,7,62.98,26,90.62,1209,1256.42,98,14.68,8400,4872.23
Lohardaga,15840,8430.01,14,86.05,62,196.01,2024,4035.69,60,13.70,18000,12761.45
Pakur,9747,4627.15,6,26.54,18,51.01,1985,2007.69,656,112.47,12412,6824.86
Palamu,22541,13157.99,19,94.49,141,457.34,5066,6756.85,640,178.14,28407,20644.81
Ramgarh,9694,4396.30,32,142.95,105,297.52,5664,12497.78,2372,361.47,17867,17696.02
Ranchi,34141,29977.19,247,2040.19,836,2479.40,18951,107190.99,2175,494.50,56350,142182.27
Sahibganj,11841,6692.41,10,51.05,49,131.73,3108,3059.62,976,213.92,15984,10148.72
Seraikela-Kharsawan,16244,8835.23,32,148.23,92,267.48,4324,9177.01,871,120.42,21563,18548.38
Simdega,10415,4662.99,6,22.70,41,117.87,1720,2315.23,86,37.26,12268,7156.05
West Singhbhum,22058,11969.11,79,632.50,133,381.69,4913,10875.28,1149,152.90,28332,24011.47
