district,branches_as_on_31122023_rural,semi_urban,urban,total,a_tms_as_on_31122023_rural,semi_urban,urban,total,as_on_30092023_branch,atms,difference_branch,atms
Bokaro,73,49,89,211,26,70,148,244,214,248,-3,-4
Chatra,43,22,0,65,10,24,5,39,65,39,0,0
Deoghar,69,28,45,142,13,58,68,139,142,138,0,1
Dhanbad,77,51,170,298,49,114,265,428,294,418,4,10
Dumka,82,33,1,116,21,62,4,87,116,87,0,0
East Singhbhum,79,70,189,338,24,117,398,539,334,539,4,0
Garhwa,58,32,0,90,13,40,5,58,88,58,2,0
Giridih,122,10,35,167,36,40,50,126,166,126,1,0
Godda,74,29,0,103,23,46,1,70,103,69,0,1
Gumla,51,28,0,79,9,31,7,47,80,47,-1,0
Hazaribagh,88,25,59,172,44,57,98,199,171,194,1,5
Jamtara,40,28,0,68,8,30,5,43,68,43,0,0
Khunti,30,20,0,50,9,21,15,45,49,45,1,0
Koderma,31,33,0,64,8,44,5,57,64,56,0,1
Latehar,23,29,0,52,10,26,4,40,50,41,2,-1
Lohardaga,23,21,0,44,4,28,2,34,44,32,0,2
Pakur,38,22,0,60,8,32,1,41,75,41,-15,0
Palamu,81,53,0,134,17,72,14,103,134,105,0,-2
Ramgarh,47,70,1,118,31,84,15,130,118,131,0,-1
Ranchi,144,41,306,491,76,75,586,737,471,731,20,6
Sahibganj,41,35,0,76,6,31,9,46,76,46,0,0
Seraikela-Kharsawan,78,19,25,122,26,25,31,82,123,80,-1,2
Simdega,31,19,0,50,6,13,3,22,49,22,1,0
West Singhbhum,73,62,0,135,19,52,22,93,137,97,-2,-4
