district,number_of_pmjdy_accounts_rural,urban,male,female,total,zero_balance_a_c,pct_of_zero_bal_a_c,deposits_held_in_the_a_c_in_lakh,overdraft_under_pmjdy_no_of_acc,o_s,rupay_card_issued,rupay_card_pct,rupay_card_activated,aadhaar_seeded,aadhaar_seeding_pct,col_17
Bokaro,570015,250615,346936,473694,820630,69401,8.46,34647.32,2405,5.37,620430,75.60,315859,715506,87.19,
Chatra,653908,20598,303377,371129,674506,49348,7.32,31418.09,409,5.57,452777,67.13,213104,587654,87.12,
Deoghar,817094,236375,477696,575773,1053469,76853,7.30,47669.09,780,6.73,713251,67.70,189174,886022,84.11,
Dhanbad,837698,348276,510140,675834,1185974,96729,8.16,45754.13,4292,12.31,904300,76.25,447828,1056601,89.09,
Dumka,770425,65206,361481,474150,835631,75308,9.01,35819.67,861,1.71,543796,65.08,125673,690651,82.65,
East Singhbhum,548271,306341,361614,492998,854612,65631,7.68,39042.68,1856,11.34,659145,77.13,358341,758622,88.77,
Garhwa,758751,116944,407993,467702,875695,76144,8.70,31892.10,205,0.30,555231,63.40,184243,715753,81.74,
Giridih,1267179,122907,591833,798253,1390086,115632,8.32,64817.45,822,2.84,941775,67.75,513415,1226832,88.26,
Godda,767618,54494,362318,459794,822112,75165,9.14,29819.71,814,1.63,529457,64.40,162954,660983,80.40,
Gumla,522010,72856,263058,331808,594866,64024,10.76,34373.35,238,3.05,392904,66.05,209422,525471,88.33,
Hazaribagh,779672,181032,398371,562333,960704,95328,9.92,75773.90,1855,8.45,647283,67.38,310364,844995,87.96,
Jamtara,451769,32792,220973,263588,484561,39325,8.12,18924.76,693,2.28,310067,63.99,99396,415795,85.81,
Khunti,215972,11746,103194,124524,227718,21893,9.61,11792.68,746,0.80,119519,52.49,77279,204444,89.78,
Koderma,344685,37397,160235,221847,382082,27540,7.21,19989.74,500,7.49,296337,77.56,162935,348180,91.13,
Latehar,533229,47541,269729,311041,580770,49084,8.45,23345.73,259,3.84,371953,64.04,99801,489406,84.27,
Lohardaga,283418,15917,131230,168105,299335,38479,12.85,13901.83,299,0.54,189277,63.23,110308,279684,93.44,
Pakur,619137,56801,305111,370827,675938,55066,8.15,18313.86,355,1.36,459622,68.00,129245,582466,86.17,
Palamu,1039088,269138,602101,706125,1308226,130732,9.99,46253.99,182,1.08,915844,70.01,236426,1075140,82.18,
Ramgarh,291034,31678,135468,187244,322712,30709,9.52,18311.71,1961,7.96,235924,73.11,128226,298900,92.62,
Ranchi,1012174,411784,626225,797733,1423958,135079,9.49,66265.63,9496,21.74,851708,59.81,366437,1173966,82.44,
Sahibganj,701354,237533,429626,509261,938887,68923,7.34,29117.76,620,1.68,626056,66.68,143891,789055,84.04,
Seraikela-Kharsawan,370887,51050,187070,234867,421937,39237,9.30,18860.47,2700,3.45,282874,67.04,183507,377933,89.57,
Simdega,336044,12282,154922,193404,348326,27023,7.76,20743.28,894,0.81,261189,74.98,173367,324578,93.18,
West Singhbhum,659513,120292,355100,424705,779805,61277,7.86,38496.20,5720,9.06,551346,70.70,244185,692114,88.75,
