district,grand_total_of_laf,returned_by_bank,returned_after_sanction,resubmit_ted_applicati_ons,picked_up_status_pending_for_sanction,total_sanctioned,pct_total_sanctioned_vs_total_application_laf,total_sanctioned_but_pending_for_disbursement,total_disbursement,pct_total_disbursement_vs_total_sanction,applications_already_closed
Bokaro,5558,346,164,263,559,4916,88.45,755,4161,84.64,1158
Chatra,997,202,166,1,17,779,78.13,18,761,97.69,506
Deoghar,5637,471,338,267,240,5193,92.12,641,4552,87.66,1282
Dhanbad,16491,2712,1042,764,729,13814,83.77,2136,11678,84.54,3384
Dumka,1096,10,21,31,22,1095,99.91,27,1068,97.53,386
Garhwa,1806,159,228,14,108,1553,85.99,200,1353,87.12,442
Giridih,4311,535,268,213,173,3816,88.52,309,3507,91.90,1166
Godda,1499,173,91,18,32,1312,87.53,17,1295,98.70,534
Gumla,732,49,50,59,7,735,100.41,39,696,94.69,318
Hazaribagh,4495,457,366,273,342,3969,88.30,599,3370,84.91,843
Jamtara,1010,152,78,13,35,836,82.77,100,736,88.04,249
Khunti,591,49,71,2,6,538,91.03,12,526,97.77,237
Koderma,2128,186,147,32,28,1946,91.45,83,1863,95.73,955
Latehar,567,23,25,9,10,543,95.77,53,490,90.24,290
Lohardaga,1079,187,47,15,130,777,72.01,66,711,91.51,321
Pakur,715,115,72,2,18,584,81.68,15,569,97.43,181
Palamu,5014,182,501,358,186,5004,99.80,278,4726,94.44,1185
Ramgarh,2551,493,313,49,106,2001,78.44,194,1807,90.30,682
Ranchi,15319,891,1794,1263,1358,14333,93.56,2034,12299,85.81,3990
Sahibganj,2169,181,141,62,75,1975,91.06,159,1816,91.95,418
Seraikela-Kharsawan,3380,314,278,143,445,2764,81.78,263,2501,90.48,833
Simdega,740,142,20,7,18,587,79.32,13,574,97.79,259
West Singhbhum,1638,178,130,1,107,1354,82.66,80,1274,94.09,588
