district,as_on_31st_december_2023_export_credit_no,amt,education_no,amt,housing_no,amt,social_infra_no,amt,renewable_energy_no,amt,others_priority_sector_no,amt,total_priority_sector_no,amt,pct_of_total_pri_sec_loans_to_total_advances
Bokaro,,,3165,11289.90,3345,31771.30,2,1.95,1,,33339,10964.53,177223,405486.88,47.38
Chatra,,,254,747.07,160,1268.56,1,0.47,,,3690,1351.42,88266,83130.64,61.94
Deoghar,,,1106,3944.85,1794,12463.15,7,8.41,11,11.71,16966,5345.50,160168,211709.29,57.19
Dhanbad,1,302.00,5262,17172.93,10161,87436.96,4,10.94,,,63483,22154.16,250127,655360.65,46.56
Dumka,,,259,859.78,747,6008.91,17,6.95,41,42.49,14451,5455.44,126836,119838.75,58.81
East Singhbhum,,,7650,34458.53,9898,76108.24,6,105.52,,,61661,22466.81,279389,976861.67,47.15
Garhwa,,,282,889.90,274,2333.45,11,47.27,26,7.93,11107,3803.99,122626,107351.25,67.42
Giridih,25,7384.00,1061,3159.52,935,7436.56,5,95.21,,,28671,9956.57,211867,252420.15,58.95
Godda,,,447,1320.54,1097,10196.17,3,0.72,41,4.49,8634,3307.98,114681,110764.09,59.62
Gumla,,,572,1035.48,287,2407.68,1,0.14,1,10.10,4367,1611.82,78367,72770.83,59.85
Hazaribagh,,,1395,4887.86,2301,19015.40,28,17.29,,,21310,8977.47,199796,324107.70,56.17
Jamtara,,,305,701.01,352,2441.92,,,16,3.18,2285,609.95,65815,54146.97,58.17
Khunti,,,169,525.66,223,2089.52,4,7.28,,,3439,1158.07,48007,45798.96,47.58
Koderma,,,533,1752.15,620,4096.90,2,0.42,,,11222,3765.95,90596,111962.16,62.21
Latehar,,,156,470.69,182,1913.75,1,0.05,3,0.65,6007,1710.86,51885,54669.21,51.18
Lohardaga,,,215,766.07,264,2127.54,,,,,5328,1807.48,54629,57597.31,60.17
Pakur,,,152,359.13,404,3690.52,3,1.05,,,16797,5928.64,80494,83190.42,64.53
Palamu,,,784,2502.96,724,6352.55,11,27.41,3,2.04,25490,9835.93,192560,189227.55,57.13
Ramgarh,,,1074,3634.63,944,9005.52,6,11.00,1,7.00,15074,5587.92,92749,169276.33,44.32
Ranchi,2,4468.00,11919,51729.51,12463,146653.37,1817,181.40,2,7.19,49819,23117.87,1355715,1625569.73,42.09
Sahibganj,,,615,1340.67,474,4258.50,5,0.16,46,50.63,14451,5285.08,94500,83952.39,59.75
Seraikela-Kharsawan,,,1977,5728.51,1346,10050.16,,,,,12245,4894.25,211555,272473.05,64.83
Simdega,,,136,338.54,121,1063.70,,,,,2993,907.97,40622,35860.13,60.36
West Singhbhum,,,1556,6328.39,917,8631.25,2,0.68,,,15567,5131.40,125979,153669.91,40.28
