district,total_npa_under_non_priorty_sector_sector_wise_agriculture_no,amt,housing_no,amt,education_no,amt,others_no,amt,total_non_psl_npa_no,amt,total_npa_psl_npa_+_non_psl_npa_no,amt,total_advances_amt,npa_pct
Bokaro,9,23.93,37,598.97,1,10.55,10572,7096.31,10619,7729.76,43422,50857.08,855801.81,5.94
Chatra,,,4,3.69,,,1056,611.33,1060,615.02,24877,16773.17,134207.34,12.50
Deoghar,59,13.83,8,6.72,2,7.86,2227,1552.77,2296,1581.18,33455,20699.42,370173.68,5.59
Dhanbad,6,62.17,92,864.78,3,7.78,13103,13247.32,13204,14182.04,53105,55107.10,1407531.19,3.92
Dumka,4,,1,13.38,,,2214,1042.63,2219,1056.01,29258,14187.58,203763.75,6.96
East Singhbhum,4,5.36,135,2258.63,6,58.53,13414,20352.57,13559,22675.09,52109,94547.24,2071644.68,4.56
Garhwa,1,,1,27.29,,,841,553.79,843,581.07,18657,11024.36,159234.71,6.92
Giridih,1,0.11,21,106.70,3,3.02,3828,1808.26,3853,1918.09,44211,29357.85,428178.38,6.86
Godda,,,1,,,,1243,899.79,1244,899.79,21718,13107.08,185768.01,7.06
Gumla,314,144.50,3,47.06,,,823,483.77,1140,675.32,29734,15701.36,121580.26,12.91
Hazaribagh,3,3.88,44,498.94,4,16.53,4761,3096.28,4812,3615.63,47271,44502.89,577025.73,7.71
Jamtara,2,1.78,1,0.06,,,800,763.18,803,765.01,13479,6776.07,93085.44,7.28
Khunti,53,18.96,2,51.50,,,406,510.56,461,581.03,11180,7044.19,96254.31,7.32
Koderma,2,0.56,11,117.47,,,2261,900.19,2274,1018.22,22859,18055.17,179985.92,10.03
Latehar,,,2,9.44,,,434,500.32,436,509.76,8836,5382.00,106809.20,5.04
Lohardaga,,,1,88.13,,,777,793.49,778,881.61,18778,13643.06,95719.27,14.25
Pakur,,,1,,,,1883,805.42,1884,805.42,14296,7630.28,128920.94,5.92
Palamu,5,1.78,3,2.08,1,1.01,2376,2075.40,2385,2080.27,30792,22725.08,331194.57,6.86
Ramgarh,33,13.11,10,160.50,,,2902,4614.22,2945,4787.84,20812,22483.86,381912.89,5.89
Ranchi,37,722.84,159,2654.52,9,61.97,18458,62946.55,18663,66385.88,75013,208568.15,3862210.66,5.40
Sahibganj,4,2.52,10,4.99,,,1177,1075.97,1191,1083.48,17175,11232.20,140513.14,7.99
Seraikela-Kharsawan,1,0.15,13,151.45,,,3409,1310.07,3423,1461.67,24986,20010.05,420285.56,4.76
Simdega,,,,,,,885,491.75,885,491.75,13153,7647.80,59414.92,12.87
West Singhbhum,1,1.07,14,102.48,,,1590,1628.74,1605,1732.28,29937,25743.76,381543.68,6.75
