district,shishu_accounts,amount,kishor_accounts,amount,tarun_accounts,amount,total_accounts,amount
Bokaro,34626,11517.68,16518,16964.44,1055,7687.83,52199,36169.95
Chatra,4472,1674.00,2760,3381.82,435,2987.64,7667,8043.47
Deoghar,16480,5812.75,9633,11884.90,1006,7206.49,27119,24904.14
Dhanbad,56629,19805.09,23546,24417.94,1566,11536.78,81741,55759.81
Dumka,17428,6052.14,8641,8947.84,481,3269.72,26550,18269.71
East Singhbhum,51841,17576.56,25933,26966.59,1824,13811.09,79598,58354.24
Garhwa,8777,3542.11,6330,6419.60,568,4021.14,15675,13982.85
Giridih,88698,29578.67,38099,32386.19,1074,7541.55,127871,69506.42
Godda,8924,3298.39,7878,8666.22,567,3830.66,17369,15795.28
Gumla,2514,774.23,1434,2270.90,284,1999.96,4232,5045.09
Hazaribagh,42819,14648.43,22122,21873.22,1388,9584.95,66329,46106.59
Jamtara,3105,876.86,1641,2622.32,221,1529.10,4967,5028.29
Khunti,4410,1387.66,2422,2747.82,183,1232.23,7015,5367.71
Koderma,20138,7162.09,12382,11320.22,444,3062.89,32964,21545.19
Latehar,16284,5429.11,6350,5906.93,351,2494.93,22985,13830.96
Lohardaga,2644,898.95,2242,2707.25,201,1488.47,5087,5094.66
Pakur,34054,11229.66,17553,14745.47,254,1722.49,51861,27697.63
Palamu,17902,6788.20,14798,14506.07,966,6816.68,33666,28110.95
Ramgarh,7558,2672.23,6887,7986.06,606,4412.89,15051,15071.17
Ranchi,125895,41910.78,57862,55408.70,3126,22816.20,186883,120135.68
Sahibganj,9568,3371.59,9832,10184.73,666,4793.98,20066,18350.30
Seraikela-Kharsawan,10880,3675.38,6107,7173.94,368,2774.68,17355,13624.00
Simdega,1863,585.81,1277,1418.00,143,1000.32,3283,3004.13
West Singhbhum,94327,30447.07,28622,23446.24,463,3360.49,123412,57253.80
