district,no_of_cases_pending_as_on_previous_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_filed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_disposed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_pending_at_the_end_of_the_quarter_no_of_a_cs,amount_in_lacs
Bokaro,196,5970,6,165,,,202,6135
Chatra,40,1071,12,274,1,36,51,1309
Deoghar,15,3014,2,328,,,17,3341
Dhanbad,231,9278,19,533,7,195,243,9616
Dumka,2,98,,,,,2,98
East Singhbhum,898,117316,39,1334,8,2476,929,116174
Garhwa,2,30,,,,,2,30
Giridih,18,617,,,,,18,617
Godda,19,379,,,,,19,379
Gumla,8,181,,,,,8,181
Hazaribagh,120,4375,17,513,8,294,129,4595
Jamtara,0,,,,,,,
Khunti,10,375,,,1,41,9,334
Koderma,48,1285,11,245,2,68,57,1462
Latehar,0,,,,,,,
Lohardaga,28,1049,,,,,28,1049
Pakur,4,132,,,,,4,132
Palamu,12,133,,,,,13,133
Ramgarh,146,5608,9,175,1,29,154,5755
Ranchi,1717,117603,41,1712,49,2604,1709,116712
Sahibganj,3,60,,,,,3,60
Seraikela-Kharsawan,113,2463,,,,,113,2463
Simdega,2,39,,,,,2,39
West Singhbhum,85,1230,,,,,85,1230
