district,total_advance_target_no,amt,total_advance_no,amt,achv_pct_amt
Bokaro,198192,649777,109061,527080.19,81.12
Chatra,92632,96637,35846,61499.45,63.64
Deoghar,199764,341154,87112,215808.66,63.26
Dhanbad,279272,972649,174718,760049.98,78.14
Dumka,113451,171712,57911,109416.11,63.72
East Singhbhum,384260,1514220,248033,1375199.12,90.82
Garhwa,99401,134129,53651,75049.11,55.95
Giridih,190661,329523,102162,251974.86,76.47
Godda,108745,145341,47174,84614.93,58.22
Gumla,64070,82002,24838,53171.67,64.84
Hazaribagh,204387,374303,103988,281404.92,75.18
Jamtara,59601,73671,28083,41934.05,56.92
Khunti,40986,64495,22673,40855.72,63.35
Koderma,93384,125570,45405,101368.35,80.73
Latehar,45399,71105,27681,48095.47,67.64
Lohardaga,56736,61928,21144,44033.97,71.10
Pakur,65389,89567,44760,65850.69,73.52
Palamu,173579,254853,89088,150130.58,58.91
Ramgarh,85049,250689,52978,185962.29,74.18
Ranchi,1489290,2794153,833587,2535645.47,90.75
Sahibganj,78944,115518,42225,62904.44,54.45
Seraikela-Kharsawan,216080,296682,111609,247334.17,83.37
Simdega,44053,42897,15516,27093.29,63.16
West Singhbhum,126904,240926,54487,235109.63,97.59
