district,target_fy_2023_24_ac,amt,priority_sector_outstanding_as_on_31122022_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_acp_ac,amt,outstanding_as_on_last_day_of_reporting_quarter_ac,amt,non_priority_sector_outstanding_as_on_31122022_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_ac,amt,outstanding_as_on_last_day_of_reporting_quarter_ac,amt
Bokaro,2787,32162.00,2996,29687.09,583,3006.25,3345,31771.30,3210,47248.08,832,12931.70,4003,66495.05
Chatra,96,1475.00,167,1272.50,12,79.18,160,1268.56,157,2427.99,23,635.21,180,2924.04
Deoghar,1241,15868.00,1766,12059.11,260,1002.44,1794,12463.15,1302,22282.44,317,5134.90,1632,29445.01
Dhanbad,6265,46629.00,7767,75762.09,2747,8976.84,10161,87436.96,5650,54890.50,1324,14735.34,6937,72552.52
Dumka,282,3277.00,731,5768.42,49,389.08,747,6008.91,251,5112.93,51,1029.54,296,6322.08
East Singhbhum,8246,89381.00,8531,78642.15,2139,6773.71,9898,76108.24,11528,175378.86,2429,38594.50,13621,221751.70
Garhwa,148,1558.00,258,2139.34,56,188.11,274,2333.45,146,2065.08,38,606.40,157,2391.05
Giridih,466,7261.00,872,7805.02,160,568.68,935,7436.56,648,10478.96,181,3667.28,838,15609.03
Godda,313,3676.00,1143,9965.00,66,593.13,1097,10196.17,258,2878.18,69,911.55,286,3718.56
Gumla,193,2517.00,304,2663.29,35,204.16,287,2407.68,148,3064.22,55,1010.01,221,4457.43
Hazaribagh,1401,16265.00,2256,18786.24,230,1397.72,2301,19015.40,1720,25386.82,414,7169.67,2136,34495.73
Jamtara,70,1077.00,374,2723.06,11,101.29,352,2441.92,240,2068.45,32,479.87,240,2691.84
Khunti,157,2474.00,234,2370.52,29,153.89,223,2089.52,144,2893.32,39,612.74,204,4131.18
Koderma,417,3755.00,634,3916.56,80,431.11,620,4096.90,249,4461.23,88,1200.92,341,6264.24
Latehar,93,1307.00,174,1819.71,32,209.90,182,1913.75,96,1738.44,20,394.67,110,2120.56
Lohardaga,166,2564.00,286,2226.63,47,122.10,264,2127.54,153,2732.51,61,824.01,210,4169.41
Pakur,171,1896.00,379,3206.19,20,163.25,404,3690.52,318,4464.06,45,693.71,326,4866.87
Palamu,410,5379.00,693,5894.65,129,820.50,724,6352.55,440,7593.46,107,1983.42,518,9940.18
Ramgarh,934,13326.00,1070,11834.70,127,903.87,944,9005.52,968,16592.93,350,5398.67,1371,25379.79
Ranchi,10307,175796.00,12420,152853.79,2410,16704.03,12463,146653.37,14401,278530.31,3370,73404.68,18886,400453.22
Sahibganj,216,2191.00,470,4075.61,35,238.73,474,4258.50,207,2335.97,45,562.44,238,2894.20
Seraikela-Kharsawan,1290,12961.00,1099,10059.12,319,1240.55,1346,10050.16,1408,19939.30,293,4541.57,1755,28911.69
Simdega,74,795.00,127,1176.31,16,48.08,121,1063.70,61,1049.63,25,229.63,97,1547.51
West Singhbhum,441,6410.00,927,8583.30,95,933.22,917,8631.25,597,9157.05,132,2613.54,752,12566.31
