district,pmjjby_no_of_enrollments,no_of_eligible_cases,no_of_renewals,pmsby_no_of_enrollments,no_of_eligible_cases,no_of_renewals,apy_enrollments_target_for_fy_2023_24,total_subscriber_from_01042023_to_31122023,total_subscribe_rs_since_inception
Bokaro,220033,1785839,124715,609895,2434570,369768,18382,12412,90624
Chatra,183508,712824,110983,352915,908091,247192,5800,12039,55842
Deoghar,213080,772496,116475,582468,1176020,378569,12403,19392,115808
Dhanbad,280098,2296149,149004,751959,3163423,432333,25966,14697,106314
Dumka,210235,548682,129955,494692,881387,349623,10440,15658,82070
Garhwa,132882,553280,69421,325516,771199,197713,7495,12292,52688
Giridih,331878,1830162,183518,709090,2384697,472940,14634,23133,118508
Godda,175410,569768,98670,438738,882683,290034,9191,16458,92675
Gumla,150709,744875,82892,324621,943499,183834,6871,10089,57339
Hazaribagh,274216,1585323,151998,614236,2058331,415746,15526,18347,104634
Jamtara,109445,394693,64107,279080,589538,187273,6068,8623,50737
Khunti,74179,425090,36457,167768,538115,89534,4462,5625,28048
Koderma,99041,649973,59245,247467,846852,153911,6068,6158,35680
Latehar,100525,378060,61669,244587,537015,161100,4194,8851,42678
Lohardaga,74403,502818,39787,165881,632684,96749,3926,5041,29979
Pakur,112132,402636,66244,343959,608840,255020,5443,14827,77297
Palamu,238532,900853,130845,549202,1309346,357831,11243,19886,80389
Ramgarh,125840,830708,69834,312911,1095543,195408,10172,5199,40487
Ranchi,408271,3055559,205271,999401,3934795,537676,42920,27644,201167
Sahibganj,159292,492401,94138,435406,789557,320573,6782,15135,83824
Seraikela-Kharsawan,128372,861572,57611,315189,1103754,164739,10976,7305,52886
Simdega,99342,460526,58874,196289,586506,126680,4462,6129,26650
West Singhbhum,189544,1144368,92612,412140,1464210,229152,11690,12111,74851
