district,rural_deposit,advances,cd_ratio,semi_urban_deposit,advances,cd_ratio,urban_deposit,advances,cd_ratio,total_deposit,advances,cd_ratio
Bokaro,399433.77,118063.16,29.56,477795.79,148142.74,31.01,1418079.85,589595.91,41.58,2295309.40,855801.81,37.28
Chatra,187755.61,67420.80,35.91,248669.14,61316.30,24.66,855.68,5470.23,639.28,437280.43,134207.34,30.69
Deoghar,251082.30,94399.63,37.60,99958.69,39850.21,39.87,630595.67,235923.84,37.41,981636.66,370173.68,37.71
Dhanbad,488683.28,109178.31,22.34,406580.60,145414.62,35.77,3114359.26,1152938.26,37.02,4009623.14,1407531.19,35.10
Dumka,242781.67,86608.27,35.67,307182.45,114121.86,37.15,4523.44,3033.62,67.06,554487.56,203763.75,36.75
East Singhbhum,305425.42,123594.98,40.47,579498.68,175397.99,30.27,3128492.99,1772651.71,56.66,4013417.09,2071644.68,51.62
Garhwa,150431.47,71723.56,47.68,188584.91,85759.30,45.48,630.69,1751.85,277.77,339647.07,159234.71,46.88
Giridih,594047.07,176983.23,29.79,49075.53,18367.06,37.43,361078.66,232828.09,64.48,1004201.26,428178.38,42.64
Godda,254895.64,95760.07,37.57,254000.01,87729.59,34.54,596.87,2278.36,381.72,509492.52,185768.01,36.46
Gumla,152879.21,46019.04,30.10,224117.24,72541.72,32.37,2443.28,3019.50,123.58,379439.72,121580.26,32.04
Hazaribagh,398420.04,143326.12,35.97,150594.32,87655.99,58.21,747605.14,346043.62,46.29,1296619.50,577025.73,44.50
Jamtara,128555.51,43318.62,33.70,172091.45,48330.46,28.08,,1436.36,,300646.95,93085.44,30.96
Khunti,102438.48,43932.33,42.89,118217.31,49795.00,42.12,3068.96,2526.98,82.34,223724.76,96254.31,43.02
Koderma,156326.56,51606.59,33.01,284211.63,120831.08,42.51,1412.37,7548.24,534.44,441950.56,179985.92,40.73
Latehar,109804.29,46910.79,42.72,139877.30,57556.70,41.15,,2341.70,,249681.59,106809.20,42.78
Lohardaga,62889.59,33273.24,52.91,139176.13,60334.74,43.35,1141.96,2111.29,184.88,203207.67,95719.27,47.10
Pakur,96514.06,49727.23,51.52,153064.43,77110.42,50.38,,2083.29,,249578.48,128920.94,51.66
Palamu,270976.23,128343.13,47.36,532403.83,195510.49,36.72,,7340.95,,803380.07,331194.57,41.23
Ramgarh,233751.33,82214.23,35.17,670188.35,283273.91,42.27,966.49,16424.75,1699.43,904906.17,381912.89,42.20
Ranchi,616029.77,466959.31,75.80,319779.75,125903.90,39.37,7847176.37,3269347.46,41.66,8782985.88,3862210.66,43.97
Sahibganj,120677.90,48608.14,40.28,246958.69,89560.97,36.27,,2344.03,,367636.59,140513.14,38.22
Seraikela-Kharsawan,305754.87,159714.71,52.24,86333.17,36769.46,42.59,266439.38,223801.39,84.00,658527.42,420285.56,63.82
Simdega,94512.09,24263.92,25.67,103867.18,33826.45,32.57,,1324.55,,198379.27,59414.92,29.95
West Singhbhum,211848.07,84310.86,39.80,3020989.81,254672.45,8.43,99484.82,42560.38,42.78,3332322.70,381543.68,11.45
