district,as_on_31st_december_2023_agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_non_priority_sector_no,amt,total_nps_no,amt,total_advance_no,amt
Bokaro,40,77.32,93,1859.25,4003,66495.05,29135,72171.14,104242,309712.17,137513,450314.93,314736,855801.81
Chatra,,,,,180,2924.04,4660,14120.63,13733,34032.03,18573,51076.70,106839,134207.34
Deoghar,119,511.91,44,930.66,1632,29445.01,11967,25625.01,40293,101950.50,54055,158463.09,214223,370173.68
Dhanbad,32,316.00,103,1973.72,6937,72552.52,49352,140579.61,168020,536750.13,224444,752171.98,474571,1407531.19
Dumka,26,60.61,5,121.03,296,6322.08,5748,12628.32,24484,64793.70,30559,83925.74,157395,203763.75
East Singhbhum,90,302.41,960,23825.11,13621,221751.70,62964,133870.34,249191,715938.16,326826,1095687.72,606215,2071644.68
Garhwa,3,8.39,4,38.96,157,2391.05,4597,10296.92,15242,39148.14,20003,51883.46,142629,159234.71
Giridih,24,902.67,21,286.03,838,15609.03,13180,25367.66,45458,133595.46,59521,175760.84,271388,428178.38
Godda,73,165.83,4,64.19,286,3718.56,4622,9180.83,20958,61874.52,25943,75003.92,140624,185768.01
Gumla,315,144.76,2,66.24,221,4457.43,3933,8743.36,11667,35401.17,16138,48812.95,94505,121580.26
Hazaribagh,29,65.21,42,936.69,2136,34495.73,17245,43529.07,70164,173891.32,89616,252918.03,289412,577025.73
Jamtara,40,59.20,3,65.74,240,2691.84,3188,5089.07,11083,31032.61,14554,38938.47,80369,93085.44
Khunti,55,22.78,4,33.11,204,4131.18,2807,6315.25,11785,39953.03,14855,50455.35,62862,96254.31
Koderma,4,2.53,9,219.75,341,6264.24,5709,9805.29,23614,51731.95,29677,68023.76,120273,179985.92
Latehar,9,183.41,2,27.53,110,2120.56,3027,8330.32,11343,41478.17,14491,52139.99,66376,106809.20
Lohardaga,,,2,54.86,210,4169.41,2328,5551.76,10843,28345.93,13383,38121.96,68012,95719.27
Pakur,,,1,6.36,326,4866.87,2211,3997.31,22300,36859.08,24838,45729.62,105332,128920.94
Palamu,17,32.38,8,147.18,518,9940.18,10203,20395.74,39040,111451.55,49786,141967.02,242346,331194.57
Ramgarh,37,24.76,21,488.71,1371,25379.79,15075,47636.84,39802,139106.46,56306,212636.56,149055,381912.89
Ranchi,134,33245.95,677,13100.89,18886,400453.22,79953,217418.25,348074,1572432.52,447724,2236650.84,1803439,3862210.66
Sahibganj,52,100.47,1,7.98,238,2894.20,4319,8802.36,16733,44755.75,21343,56560.75,115843,140513.14
Seraikela-Kharsawan,7,7.35,60,922.55,1755,28911.69,12394,23917.23,36061,94053.70,50277,147812.51,261832,420285.56
Simdega,,,4,40.87,97,1547.51,2211,5650.03,7345,16316.39,9657,23554.80,50279,59414.92
West Singhbhum,16,39.34,26,369.55,752,12566.31,10277,23334.80,29784,191563.79,40855,227873.78,166834,381543.68
