district,total_bc,bc_inactive,bc_active_a,male_out_of_a,female,fixed_yes,fixed_no,pos_yes,pos_no,extending_all_basic_banking_facilities_yes,extending_all_basic_banking_facilities_no,limited_services_yes,limited_services_no
Bokaro,6712,1691,5021,4569,452,2515,2506,568,4453,2508,2513,3977,1044
Chatra,6746,1688,5058,4603,455,1983,3075,704,4354,2105,2953,4612,446
Deoghar,8838,2797,6041,5677,364,2295,3746,538,5503,2261,3780,5299,742
Dhanbad,7425,1669,5756,5325,431,3185,2571,952,4804,3420,2336,4323,1433
Dumka,4490,1109,3381,3122,259,2131,1250,458,2923,1880,1501,2676,705
East Singhbhum,4310,1277,3033,2740,293,1395,1638,570,2463,1576,1457,1955,1078
Garhwa,13155,3960,9195,8510,685,4263,4932,1129,8066,3873,5322,8370,825
Giridih,14328,3335,10993,9998,995,7047,3946,1003,9990,5965,5028,9468,1525
Godda,8340,2523,5817,5322,495,3133,2684,1006,4811,2983,2834,5109,708
Gumla,3609,983,2626,2364,262,1373,1253,375,2251,1460,1166,2218,408
Hazaribagh,7252,1817,5435,4877,558,3290,2145,1079,4356,3415,2020,4804,631
Jamtara,1903,434,1469,1386,83,761,708,217,1252,826,643,1216,253
Khunti,1988,514,1474,1299,175,782,692,250,1224,854,620,1216,258
Koderma,3279,818,2461,2239,222,1202,1259,385,2076,1139,1322,2178,283
Latehar,6184,2002,4182,3878,304,1521,2661,578,3604,1668,2514,3658,524
Lohardaga,3279,930,2349,2121,228,859,1490,187,2162,897,1452,2146,203
Pakur,3877,1169,2708,2469,239,1491,1217,512,2196,1223,1485,2217,491
Palamu,12249,3161,9088,8298,790,5459,3629,1221,7867,4900,4188,7872,1216
Ramgarh,3493,819,2674,2352,322,1642,1032,508,2166,1729,945,2274,400
Ranchi,6564,2211,4353,3874,479,1726,2627,885,3468,1961,2392,3201,1152
Sahibganj,5455,1555,3900,3563,337,2704,1196,821,3079,2457,1443,3245,655
Seraikela-Kharsawan,3082,836,2246,2028,218,1026,1220,259,1987,1056,1190,1888,358
Simdega,2636,669,1967,1755,212,930,1037,303,1664,993,974,1725,242
West Singhbhum,4824,1341,3483,3101,382,2072,1411,788,2695,2301,1182,2807,676
