district,no_of_cases_pending_as_on_previous_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_filed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_disposed_during_the_quarter_n_o_of_a_cs,amount_in_lacs,no_of_cases_pending_at_the_end_of_the_quarter_no_of_a_cs,amount_in_lacs
Bokaro,1181,2806.31,92,101.25,2,2.76,1271,2904.80
Chatra,213,488.07,32,67.37,35,77.62,210,477.82
Deoghar,3589,4981.71,32,41.98,23,45.03,3598,4978.66
Dhanbad,5742,9001.45,211,518.68,132,369.12,5821,9151.01
Dumka,220,136.12,1,1.98,1,1.92,220,136.18
East Singhbhum,1351,3518.01,20,106.59,0,0.08,1371,3624.51
Garhwa,408,342.23,1,0.53,0,1.53,409,341.23
Giridih,197,374.62,38,16.40,1,0.00,234,391.02
Godda,674,332.46,1,7.49,4,3.76,671,336.20
Gumla,326,509.63,0,0.00,0,0.00,326,509.63
Hazaribagh,1253,4561.01,81,181.81,90,189.83,1244,4552.99
Jamtara,193,196.19,1,0.48,0,-0.01,194,196.68
Khunti,149,275.73,0,0.00,0,0.00,149,275.73
Koderma,82,353.11,12,96.12,9,84.31,85,364.92
Latehar,199,226.40,1,0.40,0,0.12,200,226.68
Lohardaga,38,43.86,1,0.93,0,0.00,39,44.79
Pakur,777,570.72,142,64.39,198,107.54,721,527.57
Palamu,1563,1746.55,0,0.00,0,1.45,1563,1745.10
Ramgarh,560,1485.23,346,1213.32,2,55.47,904,2643.08
Ranchi,2706,7522.30,20,66.93,0,5.33,2726,7583.91
Sahibganj,520,571.65,32,20.20,0,0.00,552,591.86
Seraikela-Kharsawan,309,1009.15,3,20.26,0,0.03,312,1029.38
Simdega,57,121.67,0,0.00,0,0.40,57,121.27
West Singhbhum,411,1591.84,0,0.00,0,0.04,411,1591.80
