district,outstanding_loans_to_women_a_cs,amount,individual_women_a_cs,amount,loans_disbursed_to_women_a_cs,amount
Bokaro,102845,127004.38,59975,20911.89,46108,54015.74
Chatra,28404,24793.31,20687,8746.96,15754,12783.32
Deoghar,67849,60331.02,38093,14544.79,50945,36825.43
Dhanbad,171880,181889.66,73647,29201.83,89270,88806.37
Dumka,56349,41492.80,46237,18696.83,25224,20411.04
East Singhbhum,178165,268721.91,99610,41525.18,92743,125643.88
Garhwa,57112,33481.72,48094,22736.17,35065,21503.26
Giridih,108350,76571.80,83747,31321.99,68757,51265.95
Godda,49324,35285.90,40471,16932.98,30290,20733.52
Gumla,24978,27726.65,13404,6142.10,12470,13592.06
Hazaribagh,99130,95592.62,58535,27426.65,57074,55996.76
Jamtara,16060,14706.85,11507,5844.05,7118,5921.00
Khunti,20645,20406.77,14401,5560.95,11979,10883.72
Koderma,50113,41423.36,27729,10183.22,29552,27808.07
Latehar,16400,15112.32,13042,6098.42,11060,7847.37
Lohardaga,19596,21877.07,13091,4932.00,11254,11350.37
Pakur,47435,28445.28,46039,16855.56,24282,16614.78
Palamu,95094,65676.54,79906,38312.46,55169,35947.00
Ramgarh,51852,58239.31,39725,14482.15,24883,27531.17
Ranchi,197436,484566.97,94532,48045.02,90104,187705.18
Sahibganj,51558,32569.12,45801,19696.83,28241,19385.37
Seraikela-Kharsawan,49197,51632.42,29608,16944.34,22341,24437.62
Simdega,16306,15643.41,10371,4057.11,8140,8140.24
West Singhbhum,52132,53353.65,36402,16376.66,28818,26296.09
