district,agri_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,anicillary_activities_includes_all_ancillary_activites_under_agriculture_sector,amt,achv_no,amt,achv_pct_amt,total_agriculture_farm_credit+agri_infr+anci_acti_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,666,433,22,104.12,24.05,7734,14033,5801,12965.21,92.39,82098,72148,32890,39844.16,55.23
Chatra,55,36,34,16.63,46.18,5664,9224,4384,6075.15,65.86,73628,43451,24426,21202.09,48.80
Deoghar,12741,8282,17,215.79,2.61,4385,25596,1256,17001.99,66.42,93253,93108,47903,51082.56,54.86
Dhanbad,1998,1299,44,136.28,10.49,6055,19693,4436,16554.80,84.06,78714,74598,36307,50509.73,67.71
Dumka,73,48,37,24.65,51.35,1187,1925,717,1568.93,81.50,67883,51680,34466,26705.16,51.67
East Singhbhum,461,300,18,198.69,66.23,8085,21721,8116,25338.19,116.65,119648,95683,52111,67296.36,70.33
Garhwa,18,12,23,11.00,91.67,1094,1643,382,830.08,50.52,66013,70433,37484,34722.47,49.30
Giridih,505,328,37,39.65,12.09,7431,9985,5743,13345.94,133.66,117619,67973,46862,46593.23,68.55
Godda,18,12,4,1.15,9.58,2358,3313,1439,2958.20,89.29,67396,60735,27806,25603.87,42.16
Gumla,6,4,1,0.60,15.00,3749,7991,2563,6148.98,76.95,48944,37109,14265,16729.21,45.08
Hazaribagh,140,92,26,65.66,71.37,7735,21308,5643,18503.34,86.84,118762,90538,47509,57136.27,63.11
Jamtara,37,24,7,3.49,14.54,1653,2822,1346,2095.09,74.24,43514,35405,18326,15233.30,43.03
Khunti,469,305,1,,0.00,1986,5770,1491,2996.27,51.93,29254,22608,13983,11780.12,52.11
Koderma,111,72,,,0.00,4816,11242,3984,9740.70,86.65,59882,33648,20839,22654.97,67.33
Latehar,,,77,32.85,#DIV/0!,1656,2724,1012,1792.72,65.81,27932,26753,13720,13617.19,50.90
Lohardaga,123,80,6,2.00,2.50,3037,6179,2151,5887.08,95.28,41406,21452,11264,13489.84,62.88
Pakur,469,305,69,68.67,22.51,2147,3524,1819,1993.52,56.57,35305,32511,14817,14011.43,43.10
Palamu,37,24,312,169.81,707.54,3433,5187,1725,2972.84,57.31,93478,95841,54135,48761.33,50.88
Ramgarh,476,309,10,22.31,7.22,3858,7643,3135,6330.52,82.83,42877,30650,22037,20446.97,66.71
Ranchi,8971,5834,65,628.64,10.78,7568,58075,5870,62654.86,107.89,1117516,466863,550581,320626.13,68.68
Sahibganj,18,12,9,49.50,412.50,1541,2740,993,1378.99,50.33,49864,52459,20689,21384.61,40.76
Seraikela-Kharsawan,3054,1985,5,37.83,1.91,3796,6055,3247,7973.61,131.69,159438,67066,71240,44288.50,66.04
Simdega,43,28,1,4.00,14.29,2364,3964,1853,3308.51,83.46,31884,17336,8722,9068.92,52.31
West Singhbhum,271,176,4,3.94,2.24,2908,7643,2683,4506.72,58.97,79370,48454,26411,23677.97,48.87
