district,target_no,amt,disbursement_upto_the_end_of_current_quarter_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_msme_no,amt,achv_pct_amt
Bokaro,17603,187419,16565.00,102209,651.00,58726,96.00,41346,71.00,270,17383.00,202551,108.07
Chatra,3567,17845,3228.00,14724,53.00,3816,12.00,312,,,3293.00,18852,105.64
Deoghar,10076,95019,11458.00,57770,439.00,30228,78.00,12050,16.00,20,11991.00,100067,105.31
Dhanbad,22124,336626,29589.00,167705,1213.00,138223,193.00,38640,14.00,369,31009.00,344936,102.47
Dumka,10286,55010,6203.00,23160,307.00,18425,30.00,5660,7.00,135,6547.00,47381,86.13
East Singhbhum,25073,562776,25422.00,212305,2503.00,237239,527.00,168260,26.00,83,28478.00,617887,109.79
Garhwa,3460,18193,3516.00,14720,84.00,2367,4.00,52,1.00,20,3605.00,17159,94.32
Giridih,13681,93626,17197.00,64598,320.00,24754,34.00,9555,3.00,35,17554.00,98942,105.68
Godda,8036,30491,6461.00,21176,227.00,6946,8.00,1138,3.00,7,6699.00,29268,95.99
Gumla,3402,16665,2500.00,14007,81.00,3660,3.00,71,,,2584.00,17738,106.44
Hazaribagh,12628,112471,13959.00,75502,498.00,32063,31.00,3659,4.00,44,14492.00,111268,98.93
Jamtara,3029,11538,3245.00,8228,93.00,2843,6.00,40,5.00,20,3349.00,11132,96.48
Khunti,2644,11800,2238.00,9364,57.00,2775,1.00,1,2.00,10,2298.00,12150,102.96
Koderma,5895,43091,8057.00,32730,149.00,5377,25.00,3378,4.00,12,8235.00,41497,96.30
Latehar,2089,12514,3470.00,11270,58.00,2596,4.00,243,1.00,50,3533.00,14158,113.14
Lohardaga,2704,16483,2477.00,12088,78.00,2798,6.00,1083,8.00,41,2569.00,16010,97.13
Pakur,3389,24575,7581.00,17845,220.00,7472,10.00,617,,,7811.00,25935,105.53
Palamu,7306,45387,5934.00,28777,215.00,11864,22.00,1485,,,6171.00,42126,92.81
Ramgarh,8043,77891,7392.00,43882,307.00,26448,29.00,10515,6.00,18,7734.00,80863,103.82
Ranchi,57246,706363,60871.00,326014,2363.00,263722,331.00,136832,16.00,303,63581.00,726872,102.90
Sahibganj,5248,17717,6385.00,12670,91.00,2289,15.00,130,6.00,9,6497.00,15097,85.21
Seraikela-Kharsawan,16747,123012,13295.00,41978,356.00,48857,93.00,40183,17.00,236,13761.00,131254,106.70
Simdega,2078,9933,1917.00,7934,54.00,867,1.00,2,,,1972.00,8803,88.62
West Singhbhum,7206,41055,6334.00,24578,211.00,9713,40.00,1987,29.00,24,6614.00,36301,88.42
