district,target_for_fy_2023_24_no,amt,application_received_during_current_fiscal_no,sanctioned_during_the_year_including_application_received_during_previous_year_n,amount,of_which_girl_student_no,amount,disbursed_during_the_financial_year_2023_24_till_31st_december_2023_no,amount,education_loan_outstanding_as_on_31122023_no,amount,of_which_girl_student_no,amount
Bokaro,1775,3837.00,475,475,2757.38,170,1294.30,1100,2247.54,3258,13149.16,1002,4290.59
Chatra,79,148.00,23,23,89.64,3,17.39,54,97.05,254,747.07,39,123.28
Deoghar,582,1389.00,150,150,852.13,49,306.00,356,888.39,1150,4875.51,307,1474.73
Dhanbad,2533,4921.00,844,844,4046.02,242,1215.35,1646,2931.77,5365,19146.65,1401,5443.46
Dumka,125,241.00,26,26,162.20,7,70.22,57,112.31,264,980.81,76,263.12
East Singhbhum,3434,11722.00,1288,1288,10801.01,524,4524.70,2490,8863.52,8610,58283.63,3148,19695.26
Garhwa,123,228.00,34,34,126.36,6,25.83,88,172.13,286,928.86,62,194.31
Giridih,425,875.00,128,128,774.43,24,227.04,267,495.33,1082,3445.55,224,860.67
Godda,187,312.00,49,49,219.93,21,121.16,105,195.33,451,1384.73,129,363.61
Gumla,252,403.00,193,193,426.77,177,337.77,230,340.20,574,1101.72,408,545.18
Hazaribagh,575,1493.00,202,202,1339.40,47,429.71,438,1111.97,1437,5824.56,337,1521.15
Jamtara,237,324.00,45,45,142.89,31,67.45,161,191.89,308,766.75,176,309.78
Khunti,78,173.00,24,24,155.86,13,62.86,48,103.29,173,558.77,62,172.34
Koderma,295,612.00,74,74,449.81,19,169.64,181,350.97,542,1971.90,124,470.36
Latehar,65,82.00,15,15,39.69,8,19.90,40,65.66,158,498.22,43,121.85
Lohardaga,74,127.00,20,20,77.42,9,31.12,44,83.04,217,820.93,70,257.49
Pakur,130,106.00,10,10,31.70,4,8.62,68,78.71,153,365.48,77,125.61
Palamu,290,595.00,100,100,435.96,39,239.37,201,360.72,792,2650.14,188,637.73
Ramgarh,426,993.00,132,132,1099.84,57,622.48,283,685.20,1095,4123.34,332,1409.81
Ranchi,5442,18995.00,2325,2325,14903.27,1110,5506.55,3643,10171.09,12596,64830.41,5070,21877.75
Sahibganj,211,277.00,142,142,252.47,129,212.77,210,303.14,616,1348.65,396,605.34
Seraikela-Kharsawan,839,1184.00,384,384,1159.31,172,460.81,623,962.72,2037,6651.06,581,1599.36
Simdega,46,75.00,18,18,87.05,12,32.43,29,44.56,140,379.41,71,143.22
West Singhbhum,685,1388.00,257,257,1073.72,183,594.78,435,962.42,1582,6697.93,794,2397.83
