district,grand_total_of_laf,returned_by_bank,returned_after_sanction,resubmit_ted_applicati_ons,picked_up_status_pending_for_sanction,total_sanctioned,pct_total_sanctioned_vs_total_application_laf,total_sanctioned_but_pending_for_disbursement,total_disbursement,pct_total_disbursement_vs_total_sanction
Bokaro,108,5,4,2,3,102,94.44,10,92,90.20
Chatra,21,3,9,0,2,16,76.19,4,12,75.00
Deoghar,137,2,5,0,7,128,93.43,18,110,85.94
Dhanbad,294,37,6,2,26,233,79.25,23,210,90.13
Dumka,41,0,0,1,7,35,85.37,5,30,85.71
Garhwa,28,0,0,0,3,25,89.29,6,19,76.00
Giridih,83,5,1,0,11,67,80.72,5,62,92.54
Godda,50,2,0,0,0,48,96.00,1,47,97.92
Gumla,13,1,0,0,1,11,84.62,1,10,90.91
Hazaribagh,44,5,5,1,2,38,86.36,3,35,92.11
Jamtara,18,1,0,0,1,16,88.89,1,15,93.75
Khunti,21,8,0,0,1,12,57.14,2,10,83.33
Koderma,66,4,5,3,0,65,98.48,4,61,93.85
Latehar,60,3,0,0,3,54,90.00,12,42,77.78
Lohardaga,29,1,0,0,2,26,89.66,4,22,84.62
Pakur,21,0,2,0,2,19,90.48,1,18,94.74
Palamu,101,1,1,2,10,92,91.09,15,77,83.70
Ramgarh,54,7,7,0,5,42,77.78,1,41,97.62
Ranchi,234,29,9,4,16,193,82.48,23,170,88.08
Sahibganj,40,1,2,0,2,37,92.50,3,34,91.89
Seraikela-Kharsawan,75,3,1,2,11,63,84.00,7,56,88.89
Simdega,14,1,0,0,0,13,92.86,0,13,100.00
West Singhbhum,65,9,0,0,3,53,81.54,1,52,98.11
