district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Bokaro,562,1842.71,6393,9586.51,208,189.38,105,426.60,1,0.30,33,197.40,7302,12242.90
Chatra,482,983.23,1703,1960.93,1,0.93,19,42.78,1,9.50,2,60.50,2208,3057.87
Deoghar,1445,1875.28,7804,9181.87,49,69.82,35,45.44,1,0.90,5,1.08,9339,11174.39
Dhanbad,630,1753.54,18781,21677.22,373,298.16,244,2490.59,,,16,195.43,20044,26414.94
Dumka,1243,2915.60,3096,2463.91,13,20.75,18,18.59,5,9.73,3,1.95,4378,5430.53
East Singhbhum,1085,3560.47,10309,16114.06,340,379.05,1394,7106.29,5,11.52,42,298.62,13175,27470.02
Garhwa,959,2073.35,3952,3094.78,11,2.96,8,14.82,,,8,4.23,4938,5190.13
Giridih,581,1259.61,14016,12829.39,18,13.80,33,1181.62,2,0.90,44,179.14,14694,15464.45
Godda,888,1511.74,4584,4630.67,24,23.75,5,6.49,,,3,1.35,5504,6174.00
Gumla,1345,2291.57,1354,1446.85,,,17,11.79,,,2,17.20,2718,3767.41
Hazaribagh,980,2565.80,8916,11349.75,72,207.58,70,658.19,1,0.00,50,195.57,10089,14976.89
Jamtara,499,827.60,2634,2711.51,5,1.54,8,16.06,,,1,0.75,3147,3557.45
Khunti,1112,1517.48,657,873.71,20,18.43,18,45.82,2,1.85,2,1.26,1811,2458.55
Koderma,169,404.71,3952,3937.65,2,0.20,34,375.95,,,12,51.17,4169,4769.67
Latehar,585,1429.41,2207,2104.98,14,1.63,9,15.21,,,7,2.78,2822,3554.01
Lohardaga,349,897.51,3793,3300.21,1,0.92,5,7.68,,,9,4.63,4157,4210.95
Pakur,636,1085.59,15780,13832.16,4,3.40,23,129.26,1,0.14,3,1.00,16447,15051.55
Palamu,1351,3207.89,5891,5250.44,4,10.28,23,194.85,1,0.30,19,65.20,7289,8728.97
Ramgarh,248,867.44,3912,5927.07,27,30.62,116,862.91,,,21,457.39,4324,8145.42
Ranchi,10880,18382.33,176026,93787.40,581,535.22,282,2002.25,1,0.50,68,1167.09,187838,115874.80
Sahibganj,1021,1861.97,7664,6854.44,5,4.30,7,7.23,,,4,2.95,8701,8730.88
Seraikela-Kharsawan,766,1410.22,10430,5107.02,27,28.70,57,156.74,1,0.32,9,5.11,11290,6708.11
Simdega,2191,2699.80,717,892.02,2,1.00,2,2.57,,,4,10.51,2916,3605.90
West Singhbhum,1383,2381.75,2053,2990.28,36,66.46,111,407.30,1,0.50,15,26.60,3599,5872.88
